,DOW,TOD,complex_id,avg(entries),avg(exits)
152,weekend,morning,276,217.8125,1085.0
153,weekend,morning,277,430.2121212121212,957.7272727272727
154,weekend,morning,278,1288.03125,1205.875
155,weekend,morning,279,1196.09375,1190.125
156,weekend,morning,28,229.21875,438.96875
157,weekend,morning,280,274.09375,324.65625
158,weekend,morning,282,56.125,131.125
159,weekend,morning,283,285.84375,451.25
160,weekend,morning,284,247.28125,718.375
161,weekend,morning,286,212.59375,223.59375
162,weekend,morning,287,75.125,175.03125
163,weekend,morning,288,216.84375,108.5
164,weekend,morning,289,367.90625,264.34375
165,weekend,morning,290,204.03125,250.09375
166,weekend,morning,291,138.28125,140.71875
167,weekend,morning,292,191.28125,370.25
168,weekend,morning,293,293.53125,133.25
169,weekend,morning,294,299.0625,40.59375
170,weekend,morning,295,486.03125,67.21875
171,weekend,morning,296,285.25,51.28125
172,weekend,morning,297,91.125,44.6875
173,weekend,morning,298,389.4375,200.1875
174,weekend,morning,299,444.90625,274.84375
175,weekend,morning,3,603.71875,454.0625
176,weekend,morning,30,219.09375,279.09375
177,weekend,morning,300,478.5,406.8125
178,weekend,morning,301,533.28125,576.0
179,weekend,morning,303,718.40625,368.75
180,weekend,morning,304,669.1875,460.71875
181,weekend,morning,305,698.5,437.6875
182,weekend,morning,306,313.90625,481.09375
183,weekend,morning,307,276.90625,391.59375
184,weekend,morning,308,446.53125,450.75
185,weekend,morning,309,568.84375,398.3125
186,weekend,morning,31,174.46875,224.0625
187,weekend,morning,310,1323.0,2031.2727272727273
188,weekend,morning,311,569.40625,1269.84375
189,weekend,morning,312,434.6363636363636,829.5454545454545
190,weekend,morning,313,1167.21875,2852.78125
191,weekend,morning,314,422.59375,1272.625
192,weekend,morning,316,670.875,1254.53125
193,weekend,morning,318,1130.796875,2217.421875
194,weekend,morning,319,422.375,576.25
195,weekend,morning,32,754.90625,726.8125
196,weekend,morning,320,420.0625,829.75
197,weekend,morning,321,149.6875,393.53125
198,weekend,morning,323,248.25,677.40625
199,weekend,morning,324,165.3125,467.28125
200,weekend,morning,325,97.5,305.25
201,weekend,morning,326,97.96875,186.375
202,weekend,morning,327,289.1875,1000.25
203,weekend,morning,328,380.84375,730.4375
204,weekend,morning,329,292.1875,234.78125
205,weekend,morning,33,497.6875,308.75
206,weekend,morning,333,284.45454545454544,586.3636363636364
207,weekend,morning,334,0.0,0.03125
208,weekend,morning,336,196.90625,445.09375
209,weekend,morning,337,277.25,549.46875
210,weekend,morning,339,99.6875,148.1875
211,weekend,morning,34,613.0625,519.90625
212,weekend,morning,340,204.03125,132.1875
213,weekend,morning,341,135.125,257.5625
214,weekend,morning,343,182.59375,208.09375
215,weekend,morning,344,198.875,209.09375
216,weekend,morning,345,1326.21875,984.9375
217,weekend,morning,346,318.71875,334.40625
218,weekend,morning,347,250.6875,204.34375
219,weekend,morning,348,236.3125,242.9375
220,weekend,morning,349,123.75,144.1875
221,weekend,morning,35,861.40625,569.09375
222,weekend,morning,350,244.40625,113.65625
223,weekend,morning,351,140.5625,119.8125
224,weekend,morning,352,268.75,298.3125
225,weekend,morning,353,143.71875,160.21875
226,weekend,morning,354,266.3125,151.75
227,weekend,morning,355,257.125,63.03125
228,weekend,morning,356,459.3125,129.71875
229,weekend,morning,357,230.5,47.8125
230,weekend,morning,358,368.28125,200.625
231,weekend,morning,359,727.8125,482.125
232,weekend,morning,36,413.0,211.4375
233,weekend,morning,360,273.0625,294.28125
234,weekend,morning,361,188.8125,150.3125
235,weekend,morning,362,78.5625,75.96875
236,weekend,morning,363,228.53125,295.28125
237,weekend,morning,364,135.78125,106.1875
238,weekend,morning,365,363.03125,334.375
239,weekend,morning,366,866.65625,583.3125
240,weekend,morning,367,295.65625,189.34375
241,weekend,morning,368,401.90625,302.125
242,weekend,morning,369,507.64516129032256,326.80645161290323
243,weekend,morning,37,253.9375,85.8125
244,weekend,morning,370,92.375,99.15625
245,weekend,morning,371,533.875,476.15625
246,weekend,morning,372,147.3125,144.3125
247,weekend,morning,373,258.6875,208.75
248,weekend,morning,374,29.09375,78.9375
249,weekend,morning,375,127.75,155.9375
250,weekend,morning,376,290.65625,306.53125
251,weekend,morning,377,497.4375,365.875
252,weekend,morning,378,298.8125,124.03125
253,weekend,morning,379,445.875,224.0625
254,weekend,morning,38,565.96875,441.75
255,weekend,morning,380,257.40625,266.71875
256,weekend,morning,381,544.59375,214.34375
257,weekend,morning,382,646.96875,157.4375
258,weekend,morning,383,422.48387096774195,168.25806451612902
259,weekend,morning,384,564.5625,270.0625
260,weekend,morning,385,325.46875,216.84375
261,weekend,morning,386,295.53125,209.78125
262,weekend,morning,387,461.09375,389.59375
263,weekend,morning,388,605.8125,455.375
264,weekend,morning,39,241.9375,147.71875
265,weekend,morning,391,119.0625,195.40625
266,weekend,morning,392,910.78125,1695.125
267,weekend,morning,393,718.90625,685.8125
268,weekend,morning,394,517.125,618.71875
269,weekend,morning,395,514.5,681.375
270,weekend,morning,396,424.65625,369.5625
271,weekend,morning,397,1016.84375,3018.5625
272,weekend,morning,398,494.625,1767.40625
273,weekend,morning,399,332.15625,1077.8125
274,weekend,morning,4,584.375,479.53125
275,weekend,morning,403,453.09375,929.25
276,weekend,morning,404,354.15625,962.96875
277,weekend,morning,405,368.125,950.46875
278,weekend,morning,407,254.1875,932.46875
279,weekend,morning,409,244.625,1079.0625
280,weekend,morning,41,301.71875,509.0625
281,weekend,morning,413,313.5,370.75
282,weekend,morning,414,422.125,1072.75
283,weekend,morning,416,296.0,328.6875
284,weekend,morning,417,169.0,98.3125
285,weekend,morning,418,269.34375,115.25
286,weekend,morning,419,221.6875,118.9375
287,weekend,morning,42,519.40625,677.34375
288,weekend,morning,420,172.03125,105.9375
289,weekend,morning,421,368.625,477.90625
290,weekend,morning,422,183.9375,84.25
291,weekend,morning,423,285.6875,138.8125
292,weekend,morning,424,436.9375,241.65625
293,weekend,morning,425,133.25,57.5
294,weekend,morning,426,429.875,270.25
295,weekend,morning,427,328.8125,278.8125
296,weekend,morning,428,343.25,341.03125
297,weekend,morning,429,279.6875,213.71875
298,weekend,morning,43,341.03125,258.71875
299,weekend,morning,430,498.96875,154.625
300,weekend,morning,431,182.5625,165.15625
301,weekend,morning,432,405.9375,123.8125
302,weekend,morning,433,292.9375,70.375
303,weekend,morning,434,1006.9375,674.09375
304,weekend,morning,436,187.71875,128.28125
305,weekend,morning,437,166.46875,30.28125
306,weekend,morning,438,608.875,342.46875
307,weekend,morning,439,553.875,514.03125
308,weekend,morning,44,894.1875,715.0
309,weekend,morning,440,512.0625,366.28125
310,weekend,morning,441,368.25,476.84375
311,weekend,morning,442,135.9375,180.59375
312,weekend,morning,443,121.53125,46.8125
313,weekend,morning,444,199.625,207.59375
314,weekend,morning,445,92.875,83.46875
315,weekend,morning,446,91.78125,56.0625
316,weekend,morning,447,3167.212121212121,3349.121212121212
317,weekend,morning,448,105.28125,544.6875
318,weekend,morning,449,1158.5625,464.40625
319,weekend,morning,45,199.9375,161.1875
320,weekend,morning,450,1887.9375,995.09375
321,weekend,morning,451,2105.25,1040.78125
