,DOW,TOD,complex_id,avg(entries),avg(exits)
127,weekday,overnight,249,38.4125,41.1375
128,weekday,overnight,250,27.5125,78.8625
129,weekday,overnight,251,17.25,19.3875
130,weekday,overnight,252,48.75,82.75
131,weekday,overnight,253,14.15,20.1125
132,weekday,overnight,254,492.89130434782606,413.05434782608694
133,weekday,overnight,255,156.6125,385.0125
134,weekday,overnight,256,164.6125,380.675
135,weekday,overnight,257,60.575,160.3
136,weekday,overnight,258,92.8,153.4
137,weekday,overnight,259,531.575,585.4125
138,weekday,overnight,26,319.5375,440.6125
139,weekday,overnight,260,49.4125,57.8
140,weekday,overnight,261,317.1,524.625
141,weekday,overnight,262,116.2875,161.7125
142,weekday,overnight,263,236.2125,229.6875
143,weekday,overnight,264,176.4125,495.9125
144,weekday,overnight,265,299.8125,625.2375
145,weekday,overnight,266,177.3125,170.5875
146,weekday,overnight,268,26.225,161.5875
147,weekday,overnight,269,56.7625,221.7375
148,weekday,overnight,270,74.25,352.425
149,weekday,overnight,271,251.4875,467.2625
150,weekday,overnight,272,36.35,60.125
151,weekday,overnight,273,150.4125,557.65
152,weekday,overnight,276,144.375,189.95
153,weekday,overnight,277,420.875,388.975
154,weekday,overnight,278,834.75,1378.2875
155,weekday,overnight,279,740.675,958.5625
156,weekday,overnight,28,137.55,234.1875
157,weekday,overnight,280,61.7125,234.925
158,weekday,overnight,282,38.9125,80.475
159,weekday,overnight,283,160.2469135802469,303.71604938271605
160,weekday,overnight,284,185.0125,395.05
161,weekday,overnight,286,76.8625,185.05
162,weekday,overnight,287,43.775,97.6375
163,weekday,overnight,288,54.81481481481482,223.320987654321
164,weekday,overnight,289,117.0375,403.0875
165,weekday,overnight,290,76.975,309.6875
166,weekday,overnight,291,63.8625,109.5875
167,weekday,overnight,292,145.4875,200.5875
168,weekday,overnight,293,173.875,169.4875
169,weekday,overnight,294,59.825,27.025
170,weekday,overnight,295,187.8875,48.1625
171,weekday,overnight,296,101.3,43.3125
172,weekday,overnight,297,44.975,28.7375
173,weekday,overnight,298,151.84810126582278,146.67088607594937
174,weekday,overnight,299,147.0125,294.3375
175,weekday,overnight,3,190.3375,716.675
176,weekday,overnight,30,79.7125,231.4375
177,weekday,overnight,300,163.9375,583.3125
178,weekday,overnight,301,169.075,602.0125
179,weekday,overnight,303,139.6625,522.4625
180,weekday,overnight,304,190.7,710.4
181,weekday,overnight,305,146.0,685.4625
182,weekday,overnight,306,171.4125,415.6375
183,weekday,overnight,307,242.1125,225.175
184,weekday,overnight,308,171.51162790697674,339.2674418604651
185,weekday,overnight,309,171.0375,328.7
186,weekday,overnight,31,63.0625,199.55
187,weekday,overnight,310,534.8125,1445.0
188,weekday,overnight,311,316.5875,583.7125
189,weekday,overnight,312,236.6125,289.6625
190,weekday,overnight,313,730.35,999.4875
191,weekday,overnight,314,455.0375,410.675
192,weekday,overnight,316,754.025,681.8125
193,weekday,overnight,318,585.8816568047338,746.2307692307693
194,weekday,overnight,319,280.0375,294.45
195,weekday,overnight,32,179.375,359.675
196,weekday,overnight,320,291.35,345.0875
197,weekday,overnight,321,177.1125,144.2375
198,weekday,overnight,323,387.0125,401.725
199,weekday,overnight,324,243.575,201.0875
200,weekday,overnight,325,78.53125,88.75
201,weekday,overnight,326,97.0875,58.3375
202,weekday,overnight,327,285.7469879518072,311.65060240963857
203,weekday,overnight,328,105.98837209302326,267.6744186046512
204,weekday,overnight,329,94.9375,189.7125
205,weekday,overnight,33,144.575,276.5
206,weekday,overnight,333,242.3125,438.075
207,weekday,overnight,334,0.0,0.0
208,weekday,overnight,336,115.2625,172.9
209,weekday,overnight,337,181.3375,308.5875
210,weekday,overnight,339,74.1625,140.425
211,weekday,overnight,34,189.95,567.225
212,weekday,overnight,340,79.5,100.4375
213,weekday,overnight,341,46.9625,205.9625
214,weekday,overnight,343,74.0125,250.5
215,weekday,overnight,344,80.2125,236.15
216,weekday,overnight,345,519.2375,1067.625
217,weekday,overnight,346,165.4,361.125
218,weekday,overnight,347,133.6125,305.475
219,weekday,overnight,348,106.325,281.6875
220,weekday,overnight,349,54.3125,159.0
221,weekday,overnight,35,245.3375,552.9625
222,weekday,overnight,350,104.5375,120.3125
223,weekday,overnight,351,64.05,168.75
224,weekday,overnight,352,173.6,343.8875
225,weekday,overnight,353,54.025,178.4875
226,weekday,overnight,354,86.15,190.65
227,weekday,overnight,355,71.4875,37.425
228,weekday,overnight,356,123.15,84.075
229,weekday,overnight,357,96.2375,50.9625
230,weekday,overnight,358,116.97647058823529,235.57647058823528
231,weekday,overnight,359,238.15853658536585,480.9024390243902
232,weekday,overnight,36,136.7625,233.6625
233,weekday,overnight,360,176.8625,184.8375
234,weekday,overnight,361,45.3875,165.425
235,weekday,overnight,362,33.2125,82.6
236,weekday,overnight,363,132.2125,239.7625
237,weekday,overnight,364,26.925,115.225
238,weekday,overnight,365,163.2625,399.575
239,weekday,overnight,366,190.575,778.8
240,weekday,overnight,367,103.075,316.2375
241,weekday,overnight,368,172.1375,410.15
242,weekday,overnight,369,110.825,489.825
243,weekday,overnight,37,88.475,89.675
244,weekday,overnight,370,48.075,135.3
245,weekday,overnight,371,183.0875,426.2875
246,weekday,overnight,372,48.18518518518518,166.7283950617284
247,weekday,overnight,373,71.0125,284.825
248,weekday,overnight,374,16.6625,49.8
249,weekday,overnight,375,37.4875,118.9375
250,weekday,overnight,376,88.8,338.05
251,weekday,overnight,377,133.5,357.1375
252,weekday,overnight,378,216.45,121.7875
253,weekday,overnight,379,120.7625,229.1125
254,weekday,overnight,38,224.75,369.5
255,weekday,overnight,380,120.32911392405063,226.67088607594937
256,weekday,overnight,381,133.4625,223.3375
257,weekday,overnight,382,244.8875,137.0625
258,weekday,overnight,383,147.3125,209.7
259,weekday,overnight,384,224.1625,365.25
260,weekday,overnight,385,116.175,225.025
261,weekday,overnight,386,112.7375,214.95
262,weekday,overnight,387,179.75,391.35
263,weekday,overnight,388,212.5875,583.65
264,weekday,overnight,39,105.7375,160.2875
265,weekday,overnight,391,80.3625,157.1875
266,weekday,overnight,392,437.6,826.95
267,weekday,overnight,393,192.8625,443.2875
268,weekday,overnight,394,182.9625,528.775
269,weekday,overnight,395,167.1375,467.0375
270,weekday,overnight,396,232.51898734177215,205.873417721519
271,weekday,overnight,397,728.55,1093.6125
272,weekday,overnight,398,423.8875,408.4125
273,weekday,overnight,399,360.609756097561,255.47560975609755
274,weekday,overnight,4,178.075,670.15
275,weekday,overnight,403,397.6941176470588,403.29411764705884
276,weekday,overnight,404,369.675,379.35
