,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
228,228,228,D18,IND,6th Av - Culver,23 ST,M,F M,Subway,40.742878,-73.992821,Uptown & Queens,Downtown & Brooklyn,0,,,,,
320,320,320,130,IRT,Broadway - 7Av,23 ST,M,1,Subway,40.744081,-73.995657,Uptown & The Bronx,Downtown,0,,,,,
164,165,165,A30,IND,8th Av - Fulton St,23 ST,M,C E,Subway,40.745906,-73.998041,Uptown - Queens,Downtown & Brooklyn,0,,,,,
405,405,405,634,IRT,Lexington Av,23 ST,M,6,Subway,40.739864,-73.986599,Uptown & The Bronx,Downtown,1,,,,,
295,295,295,104,IRT,Broadway - 7Av,231 ST,Bx,1,Elevated,40.878856,-73.904834,242 St,Manhattan,1,,,,,
418,418,418,205,IRT,Lenox - White Plains Rd,233 ST,Bx,2 5,Elevated,40.893193,-73.857473,Wakefield - 241 St,Manhattan,1,,,,,
294,294,294,103,IRT,Broadway - 7Av,238 ST,Bx,1,Elevated,40.884667,-73.90087,242 St,Manhattan,0,,,,,
68,69,69,B22,BMT,West End,25 AV,Bk,D,Elevated,40.597704,-73.986829,Manhattan,Coney Island,0,,,,,
30,31,31,R35,BMT,4th Av,25 ST,Bk,R,Subway,40.660397,-73.998091,Manhattan,Bay Ridge - 95 St,0,,,,,
319,319,319,129,IRT,Broadway - 7Av,28 ST,M,1,Subway,40.747215,-73.993365,Uptown & The Bronx,Downtown,0,,,,,
12,13,13,R18,BMT,Broadway - Brighton,28 ST,M,R W,Subway,40.745494,-73.988691,Uptown & Queens,Downtown & Brooklyn,0,,,,,
404,404,404,633,IRT,Lexington Av,28 ST,M,6,Subway,40.74307,-73.984264,Uptown & The Bronx,Downtown,2,Downtown only,0.0,1.0,,
117,118,118,L05,BMT,Canarsie,3 AV,M,L,Subway,40.732849,-73.986122,8 Av,Brooklyn,0,,,,,
377,377,377,619,IRT,Pelham,3 AV-138 ST,Bx,6,Subway,40.810476,-73.926138,Pelham Bay Park,Manhattan,0,,,,,
434,434,434,221,IRT,Lenox - White Plains Rd,3 AV-149 ST,Bx,2 5,Subway,40.816109,-73.917757,Wakefield - Eastchester,Manhattan,1,,,,,
2,3,3,R04,BMT,Astoria,30 AV,Q,N W,Elevated,40.766779,-73.921479,Astoria - Ditmars Blvd,Manhattan,0,,,,,
403,403,403,632,IRT,Lexington Av,33 ST,M,6,Subway,40.746081,-73.982076,Uptown & The Bronx,Downtown,0,,,,,
460,460,460,716,IRT,Flushing,33 ST-RAWSON ST,Q,7,Elevated,40.744587,-73.930997,Flushing,Manhattan,0,,,,,
227,227,607,D17,IND,6th Av - Culver,34 ST-HERALD SQ,M,B D F M,Subway,40.749719,-73.987823,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
11,12,607,R17,BMT,Broadway - Brighton,34 ST-HERALD SQ,M,N Q R W,Subway,40.749567,-73.98795,Uptown & Queens,Downtown & Brooklyn,1,,,,,
471,471,471,726,IRT,Flushing,34 ST-HUDSON YARDS,M,7,Subway,40.755882,-74.00191,Queens,,1,,,,,
318,318,318,128,IRT,Broadway - 7Av,34 ST-PENN STATION,M,1 2 3,Subway,40.750373,-73.991057,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
163,164,164,A28,IND,8th Av - Fulton St,34 ST-PENN STATION,M,A C E,Subway,40.752287,-73.993391,Uptown - Queens,Downtown & Brooklyn,1,,,,,
4,5,5,R06,BMT,Astoria,36 AV,Q,N W,Elevated,40.756804,-73.929575,Astoria - Ditmars Blvd,Manhattan,0,,,,,
31,32,32,R36,BMT,4th Av,36 ST,Bk,D N R,Subway,40.655144,-74.003549,Manhattan,Coney Island - Bay Ridge,0,,,,,
272,272,272,G20,IND,Queens Blvd,36 ST,Q,M R,Subway,40.752039,-73.928781,Forest Hills,Manhattan,0,,,,,
5,6,6,R08,BMT,Astoria,39 AV-DUTCH KILLS,Q,N W,Elevated,40.752882,-73.932755,Astoria - Ditmars Blvd,Manhattan,0,,,,,
28,29,608,R33,BMT,4th Av,4 AV-9 ST,Bk,R,Subway,40.670847,-73.988302,Manhattan,Bay Ridge - 95 St,0,,,,,
239,239,608,F23,IND,6th Av - Culver,4 AV-9 ST,Bk,F G,Viaduct,40.670272,-73.989779,Manhattan - Queens,Church Av - Coney Island,0,,,,,
459,459,459,715,IRT,Flushing,40 ST-LOWERY ST,Q,7,Elevated,40.743781,-73.924016,Flushing,Manhattan,0,,,,,
226,226,609,D16,IND,6th Av - Culver,42 ST-BRYANT PK,M,B D F M,Subway,40.754222,-73.984569,Uptown & The Bronx - Queens,Downtown & Brooklyn,0,,,,,
162,163,611,A27,IND,8th Av - Fulton St,42 ST-PORT AUTHORITY BUS TERMINAL,M,A C E,Subway,40.757308,-73.989735,Uptown - Queens,Downtown & Brooklyn,1,,,,,
32,33,33,R39,BMT,4th Av,45 ST,Bk,R,Subway,40.648939,-74.010006,Manhattan,Bay Ridge - 95 St,0,,,,,
270,270,270,G18,IND,Queens Blvd,46 ST,Q,M R,Subway,40.756312,-73.913333,Forest Hills,Manhattan,0,,,,,
458,458,458,714,IRT,Flushing,46 ST-BLISS ST,Q,7,Elevated,40.743132,-73.918435,Flushing,Manhattan,0,,,,,
225,225,225,D15,IND,6th Av - Culver,47-50 STS-ROCKEFELLER CTR,M,B D F M,Subway,40.758663,-73.981329,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
9,10,10,R15,BMT,Broadway - Brighton,49 ST,M,N R W,Subway,40.759901,-73.984139,Uptown & Queens,Downtown & Brooklyn,2,Uptown & Queens,1.0,0.0,,
467,466,609,724,IRT,Flushing,5 AV,M,7,Subway,40.753821,-73.981963,Queens,34 St - Hudson Yards,0,,,,,
276,276,276,F12,IND,Queens Blvd,5 AV/53 ST,M,E M,Subway,40.760167,-73.975224,Queens,Downtown & Brooklyn,0,,,,,
7,8,8,R13,BMT,Astoria,5 AV/59 ST,M,N W R,Subway,40.764811,-73.973347,Queens,Downtown & Brooklyn,0,,,,,
161,162,162,A25,IND,8th Av - Fulton St,50 ST,M,C E,Subway,40.762456,-73.985984,Uptown - Queens,Downtown & Brooklyn,2,Downtown & Brooklyn only,0.0,1.0,,
60,61,61,B14,BMT,West End,50 ST,Bk,D,Elevated,40.63626,-73.994791,Manhattan,Coney Island,0,,,,,
316,316,316,126,IRT,Broadway - 7Av,50 ST,M,1,Subway,40.761728,-73.983849,Uptown & The Bronx,Downtown,0,,,,,
401,401,612,630,IRT,Lexington Av,51 ST,M,6,Subway,40.757107,-73.97192,Uptown & The Bronx,Downtown,1,,,,,
457,457,457,713,IRT,Flushing,52 ST,Q,7,Elevated,40.744149,-73.912549,Flushing,Manhattan,0,,,,,
33,34,34,R40,BMT,4th Av,53 ST,Bk,R,Subway,40.645069,-74.014034,Manhattan,Bay Ridge - 95 St,0,,,,,
61,62,62,B15,BMT,West End,55 ST,Bk,D,Elevated,40.631435,-73.995476,Manhattan,Coney Island,0,,,,,
224,224,224,B10,IND,6th Av - Culver,57 ST,M,F,Subway,40.763972,-73.97745,Uptown & Queens,Downtown & Brooklyn,0,,,,,
8,9,9,R14,BMT,Broadway - Brighton,57 ST-7 AV,M,N Q R W,Subway,40.764664,-73.980658,Uptown & Queens,Downtown & Brooklyn,1,,,,,
400,400,613,629,IRT,Lexington Av,59 ST,M,4 5 6,Subway,40.762526,-73.967967,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
34,35,35,R41,BMT,4th Av,59 ST,Bk,N R,Subway,40.641362,-74.017881,Manhattan,Coney Island - Bay Ridge,0,,,,,
160,161,614,A24,IND,8th Av - Fulton St,59 ST-COLUMBUS CIRCLE,M,A B C D,Subway,40.768296,-73.981736,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
315,315,614,125,IRT,Broadway - 7Av,59 ST-COLUMBUS CIRCLE,M,1,Subway,40.768247,-73.981929,Uptown & The Bronx,Downtown,1,,,,,
115,116,601,L02,BMT,Canarsie,6 AV,M,L,Subway,40.737335,-73.996786,8 Av,Brooklyn,0,,,,,
62,63,615,B16,BMT,West End,62 ST,Bk,D,Elevated,40.626472,-73.996895,Manhattan,Coney Island,1,,,,,
263,263,263,G10,IND,Queens Blvd,63 DR-REGO PARK,Q,M R,Subway,40.729846,-73.861604,Forest Hills,Manhattan,0,,,,,
268,268,268,G15,IND,Queens Blvd,65 ST,Q,M R,Subway,40.749669,-73.898453,Forest Hills,Manhattan,0,,,,,
314,314,314,124,IRT,Broadway - 7Av,66 ST-LINCOLN CENTER,M,1,Subway,40.77344,-73.982209,Uptown & The Bronx,Downtown,1,,,,,
262,262,262,G09,IND,Queens Blvd,67 AV,Q,M R,Subway,40.726523,-73.852719,Forest Hills,Manhattan,0,,,,,
399,399,399,628,IRT,Lexington Av,68 ST-HUNTER COLLEGE,M,6,Subway,40.768141,-73.96387,Uptown & The Bronx,Downtown,0,,,,,
455,455,455,711,IRT,Flushing,69 ST,Q,7,Elevated,40.746325,-73.896403,Flushing,Manhattan,0,,,,,
240,240,240,F24,IND,6th Av - Culver,7 AV,Bk,F G,Subway,40.666271,-73.980305,Manhattan - Queens,Church Av - Coney Island,0,,,,,
277,277,277,D14,IND,Queens Blvd,7 AV,M,B D E,Subway,40.762862,-73.981637,Uptown & The Bronx - Queens,Downtown & Brooklyn,0,,,,,
40,41,41,D25,BMT,Broadway - Brighton,7 AV,Bk,B Q,Subway,40.67705,-73.972367,Manhattan,Brighton Beach & Coney Island,0,,,,,
63,64,64,B17,BMT,West End,71 ST,Bk,D,Elevated,40.619589,-73.998864,Manhattan,Coney Island,0,,,,,
313,313,313,123,IRT,Broadway - 7Av,72 ST,M,1 2 3,Subway,40.778453,-73.98197,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
474,477,477,Q03,IND,Second Av,72 ST,M,Q,Subway,40.768799,-73.958424,Uptown,Downtown & Brooklyn,1,,,,,
159,160,160,A22,IND,8th Av - Fulton St,72 ST,M,B C,Subway,40.775594,-73.97641,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
454,454,616,710,IRT,Flushing,74 ST-BROADWAY,Q,7,Elevated,40.746848,-73.891394,Flushing,Manhattan,1,,,,,
260,260,260,F07,IND,Queens Blvd,75 AV,Q,E F,Subway,40.718331,-73.837324,Jamaica,Manhattan,0,,,,,
84,85,85,J17,BMT,Jamaica,75 ST-ELDERTS LN,Q,J Z,Elevated,40.691324,-73.867139,Jamaica,Manhattan,0,,,,,
36,37,37,R43,BMT,4th Av,77 ST,Bk,R,Subway,40.629742,-74.02551,Manhattan,95 St,0,,,,,
398,398,398,627,IRT,Lexington Av,77 ST,M,6,Subway,40.77362,-73.959874,Uptown & The Bronx,Downtown,0,,,,,
312,312,312,122,IRT,Broadway - 7Av,79 ST,M,1,Subway,40.783934,-73.979917,Uptown & The Bronx,Downtown,0,,,,,
64,65,65,B18,BMT,West End,79 ST,Bk,D,Elevated,40.613501,-74.00061,Manhattan,Coney Island,0,,,,,
70,71,71,N02,BMT,Sea Beach,8 AV,Bk,N,Open Cut,40.635064,-74.011719,Manhattan,Coney Island,2,Manhattan-bound only,1.0,0.0,,
114,115,618,L01,BMT,Canarsie,8 AV,M,L,Subway,40.739777,-74.002578,,Brooklyn,1,,,,,
15,16,16,R21,BMT,Broadway - Brighton,8 ST-NYU,M,R W,Subway,40.730328,-73.992629,Uptown & Queens,Downtown & Brooklyn,0,,,,,
190,190,190,A59,IND,Liberty Av,80 ST,Q,A,Elevated,40.679371,-73.858992,Manhattan,Lefferts - Rockaways,0,,,,,
158,159,159,A21,IND,8th Av - Fulton St,81 ST-MUSEUM OF NATURAL HISTORY,M,B C,Subway,40.781433,-73.972143,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
453,453,453,709,IRT,Flushing,82 ST-JACKSON HTS,Q,7,Elevated,40.747659,-73.883697,Flushing,Manhattan,0,,,,,
83,84,84,J16,BMT,Jamaica,85 ST-FOREST PKWY,Q,J,Elevated,40.692435,-73.86001,Jamaica,Manhattan,0,,,,,
311,311,311,121,IRT,Broadway - 7Av,86 ST,M,1,Subway,40.788644,-73.976218,Uptown & The Bronx,Downtown,0,,,,,
473,476,476,Q04,IND,Second Av,86 ST,M,Q,Subway,40.777891,-73.951787,Uptown,Downtown & Brooklyn,1,,,,,
157,158,158,A20,IND,8th Av - Fulton St,86 ST,M,B C,Subway,40.785868,-73.968916,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
78,79,79,N10,BMT,Sea Beach,86 ST,Bk,N,Open Cut,40.592721,-73.97823,Manhattan,Coney Island,0,,,,,
37,38,38,R44,BMT,4th Av,86 ST,Bk,R,Subway,40.622687,-74.028398,Manhattan,95 St,1,,,,,
397,397,397,626,IRT,Lexington Av,86 ST,M,4 5 6,Subway,40.779492,-73.955589,Uptown & The Bronx,Downtown & Brooklyn,2,Uptown & The Bronx local only,2.0,0.0,,
191,191,191,A60,IND,Liberty Av,88 ST,Q,A,Elevated,40.679843,-73.85147,Manhattan,Lefferts - Rockaways,0,,,,,
58,59,59,B12,BMT,West End,9 AV,Bk,D,Open Cut,40.646292,-73.994324,Manhattan,Coney Island,0,,,,,
452,452,452,708,IRT,Flushing,90 ST-ELMHURST AV,Q,7,Elevated,40.748408,-73.876613,Flushing,Manhattan,0,,,,,
310,310,310,120,IRT,Broadway - 7Av,96 ST,M,1 2 3,Subway,40.793919,-73.972323,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
396,396,396,625,IRT,Lexington Av,96 ST,M,6,Subway,40.785672,-73.95107,Uptown & The Bronx,Downtown,0,,,,,
156,157,157,A19,IND,8th Av - Fulton St,96 ST,M,B C,Subway,40.791642,-73.964696,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
472,475,475,Q05,IND,Second Av,96 ST,M,Q,Subway,40.784318,-73.947152,,Downtown & Brooklyn,1,,,,,
90,91,91,J24,BMT,Jamaica,ALABAMA AV,Bk,J,Elevated,40.676992,-73.898654,Jamaica,Manhattan,0,,,,,
423,423,423,210,IRT,Lenox - White Plains Rd,ALLERTON AV,Bx,2 5,Elevated,40.865462,-73.867352,Wakefield - 241 St,Manhattan,0,,,,,
489,515,515,S17,SIR,Staten Island,ANNADALE,SI,SIR,Open Cut,40.54046,-74.178217,St George,Tottenville,0,,,,,
196,196,196,H01,IND,Rockaway,AQUEDUCT RACETRACK,Q,A,At Grade,40.672097,-73.835919,Manhattan,Rockaways,1,,,,,
197,197,197,H02,IND,Rockaway,AQUEDUCT-N CONDUIT AV,Q,A,At Grade,40.668234,-73.834058,Manhattan,Rockaways,0,,,,,
495,523,523,S11,SIR,Staten Island,ARTHUR KILL,SI,SIR,At Grade,40.516578,-74.242096,St George,Tottenville,1,,,,,
407,407,407,636,IRT,Lexington Av,ASTOR PL,M,6,Subway,40.730054,-73.99107,Uptown & The Bronx,Downtown,0,,,,,
1,2,2,R03,BMT,Astoria,ASTORIA BLVD,Q,N W,Elevated,40.770258,-73.917843,Ditmars Blvd,Manhattan,1,,,,,
0,1,1,R01,BMT,Astoria,ASTORIA-DITMARS BLVD,Q,N W,Elevated,40.775036,-73.912034,,Manhattan,0,,,,,
132,133,133,L24,BMT,Canarsie,ATLANTIC AV,Bk,L,Elevated,40.675345,-73.903097,Manhattan,Canarsie - Rockaway Parkway,0,,,,,
338,338,617,235,IRT,Eastern Pky,ATLANTIC AV-BARCLAYS CTR,Bk,2 3 4 5,Subway,40.684359,-73.977666,Manhattan,Flatbush - New Lots,1,,,,,
39,40,617,D24,BMT,Broadway - Brighton,ATLANTIC AV-BARCLAYS CTR,Bk,B Q,Subway,40.68446,-73.97689,Manhattan,Brighton Beach & Coney Island,1,,,,,
26,27,617,R31,BMT,4th Av,ATLANTIC AV-BARCLAYS CTR,Bk,D N R,Subway,40.683666,-73.97881,Manhattan,Coney Island - Bay Ridge,1,,,,,
47,48,48,D32,BMT,Broadway - Brighton,AVENUE H,Bk,Q,Open Cut,40.62927,-73.961639,Manhattan,Brighton Beach & Coney Island,1,,,,,
246,246,246,F31,IND,6th Av - Culver,AVENUE I,Bk,F,Elevated,40.625322,-73.976127,Manhattan,Coney Island,0,,,,,
48,49,49,D33,BMT,Broadway - Brighton,AVENUE J,Bk,Q,Open Cut,40.625039,-73.960803,Manhattan,Brighton Beach & Coney Island,0,,,,,
49,50,50,D34,BMT,Broadway - Brighton,AVENUE M,Bk,Q,Open Cut,40.617618,-73.959399,Manhattan,Brighton Beach & Coney Island,0,,,,,
248,248,248,F33,IND,6th Av - Culver,AVENUE N,Bk,F,Elevated,40.61514,-73.974197,Manhattan,Coney Island,0,,,,,
249,249,249,F34,IND,6th Av - Culver,AVENUE P,Bk,F,Elevated,40.608944,-73.973022,Manhattan,Coney Island,0,,,,,
51,52,52,D37,BMT,Broadway - Brighton,AVENUE U,Bk,Q,Open Cut,40.5993,-73.955929,Manhattan,Brighton Beach & Coney Island,0,,,,,
77,78,78,N09,BMT,Sea Beach,AVENUE U,Bk,N,Open Cut,40.597473,-73.979137,Manhattan,Coney Island,0,,,,,
251,251,251,F36,IND,6th Av - Culver,AVENUE U,Bk,F,Elevated,40.596063,-73.973357,Manhattan,Coney Island,0,,,,,
252,252,252,F38,IND,6th Av - Culver,AVENUE X,Bk,F,Elevated,40.58962,-73.97425,Manhattan,Coney Island,0,,,,,
69,70,70,B23,BMT,West End,BAY 50 ST,Bk,D,Elevated,40.588841,-73.983765,Manhattan,Coney Island,0,,,,,
75,76,76,N07,BMT,Sea Beach,BAY PKWY,Bk,N,Open Cut,40.611815,-73.981848,Manhattan,Coney Island,0,,,,,
67,68,68,B21,BMT,West End,BAY PKWY,Bk,D,Elevated,40.601875,-73.993728,Manhattan,Coney Island,1,,,,,
247,247,247,F32,IND,6th Av - Culver,BAY PKWY,Bk,F,Elevated,40.620769,-73.975264,Manhattan,Coney Island,0,,,,,
35,36,36,R42,BMT,4th Av,BAY RIDGE AV,Bk,R,Subway,40.634967,-74.023377,Manhattan,95 St,0,,,,,
38,39,39,R45,BMT,4th Av,BAY RIDGE-95 ST,Bk,R,Subway,40.616622,-74.030876,Manhattan,,0,,,,,
486,512,512,S20,SIR,Staten Island,BAY TERRACE,SI,SIR,Embankment,40.5564,-74.136907,St George,Tottenville,0,,,,,
443,443,443,502,IRT,Dyre Av,BAYCHESTER AV,Bx,5,Open Cut,40.878663,-73.838591,Eastchester - Dyre Av,Manhattan,0,,,,,
202,202,202,H14,IND,Rockaway,BEACH 105 ST,Q,A S,Viaduct,40.583209,-73.827559,Manhattan,Rockaway Park,0,,,,,
208,208,208,H10,IND,Rockaway,BEACH 25 ST,Q,A,Viaduct,40.600066,-73.761353,Manhattan,Far Rockaway,0,,,,,
207,207,207,H09,IND,Rockaway,BEACH 36 ST,Q,A,Viaduct,40.595398,-73.768175,Manhattan,Far Rockaway,0,,,,,
206,206,206,H08,IND,Rockaway,BEACH 44 ST,Q,A,Viaduct,40.592943,-73.776013,Manhattan,Far Rockaway,0,,,,,
205,205,205,H07,IND,Rockaway,BEACH 60 ST,Q,A,Viaduct,40.592374,-73.788522,Manhattan,Far Rockaway,0,,,,,
204,204,204,H06,IND,Rockaway,BEACH 67 ST,Q,A,Viaduct,40.590927,-73.796924,Manhattan,Far Rockaway,0,,,,,
200,200,200,H12,IND,Rockaway,BEACH 90 ST,Q,A S,Viaduct,40.588034,-73.813641,Manhattan,Rockaway Park,0,,,,,
201,201,201,H13,IND,Rockaway,BEACH 98 ST,Q,A S,Viaduct,40.585307,-73.820558,Manhattan,Rockaway Park,0,,,,,
119,120,120,L08,BMT,Canarsie,BEDFORD AV,Bk,L,Subway,40.717304,-73.956872,Manhattan,Canarsie - Rockaway Parkway,1,,,,,
211,211,211,D03,IND,Concourse,BEDFORD PARK BLVD,Bx,B D,Subway,40.873244,-73.887138,Norwood - 205 St,Manhattan,1,,,,,
380,380,380,405,IRT,Jerome Av,BEDFORD PARK BLVD-LEHMAN COLLEGE,Bx,4,Elevated,40.873412,-73.890064,Woodlawn,Manhattan,0,,,,,
289,289,289,G33,IND,Crosstown,BEDFORD-NOSTRAND AVS,Bk,G,Subway,40.689627,-73.953522,Queens,Church Av,0,,,,,
236,236,236,F20,IND,6th Av - Culver,BERGEN ST,Bk,F G,Subway,40.686145,-73.990862,Manhattan - Queens,Church Av - Coney Island,0,,,,,
339,339,339,236,IRT,Eastern Pky,BERGEN ST,Bk,2 3,Subway,40.680829,-73.975098,Manhattan,Flatbush - New Lots,0,,,,,
44,45,45,D29,BMT,Broadway - Brighton,BEVERLEY RD,Bk,Q,Open Cut,40.644031,-73.964492,Manhattan,Brighton Beach & Coney Island,0,,,,,
357,357,357,245,IRT,Nostrand,BEVERLY RD,Bk,2 5,Subway,40.645098,-73.948959,Manhattan,Flatbush,0,,,,,
408,408,619,637,IRT,Lexington Av,BLEECKER ST,M,6,Subway,40.725915,-73.994659,Uptown & The Bronx,Downtown,1,,,,,
335,335,620,232,IRT,Clark St,BOROUGH HALL,Bk,2 3,Subway,40.693219,-73.989998,Manhattan,Flatbush - New Lots,1,,,,,
415,415,620,423,IRT,Eastern Pky,BOROUGH HALL,Bk,4 5,Subway,40.692404,-73.990151,Manhattan,Flatbush - Utica,2,Manhattan-bound only,1.0,0.0,,
140,142,626,S04,BMT,Franklin Shuttle,BOTANIC GARDEN,Bk,S,Open Cut,40.670343,-73.959245,Franklin Av,Prospect Park,0,,,,,
102,103,103,M19,BMT,Jamaica,BOWERY,M,J Z,Subway,40.72028,-73.993915,Brooklyn,Broad St,0,,,,,
414,414,414,420,IRT,Lexington Av,BOWLING GREEN,M,4 5,Subway,40.704817,-74.014065,Uptown & The Bronx,Brooklyn,1,,,,,
258,258,258,F05,IND,Queens Blvd,BRIARWOOD,Q,E F,Subway,40.709179,-73.820574,Jamaica,Manhattan,0,,,,,
54,55,55,D40,BMT,Broadway - Brighton,BRIGHTON BEACH,Bk,B Q,Elevated,40.577621,-73.961376,Manhattan,Coney Island,0,,,,,
199,199,199,H04,IND,Rockaway,BROAD CHANNEL,Q,A S,At Grade,40.608382,-73.815925,Manhattan,Rockaways,0,,,,,
106,107,107,M23,BMT,Jamaica,BROAD ST,M,J Z,Subway,40.706476,-74.011056,Brooklyn,,0,,,,,
3,4,4,R05,BMT,Astoria,BROADWAY,Q,N W,Elevated,40.76182,-73.925508,Astoria - Ditmars Blvd,Manhattan,0,,,,,
286,286,286,G30,IND,Crosstown,BROADWAY,Bk,G,Subway,40.706092,-73.950308,Queens,Church Av,0,,,,,
184,184,621,A51,IND,8th Av - Fulton St,BROADWAY JUNCTION,Bk,A C,Subway,40.678334,-73.905316,Manhattan,Euclid - Lefferts - Rockaways,0,,,,,
91,92,621,J27,BMT,Jamaica,BROADWAY JUNCTION,Bk,J Z,Elevated,40.679498,-73.904512,Jamaica,Manhattan,0,,,,,
131,132,621,L22,BMT,Canarsie,BROADWAY JUNCTION,Bk,L,Elevated,40.678856,-73.90324,Manhattan,Canarsie - Rockaway Parkway,0,,,,,
230,230,619,D21,IND,6th Av - Culver,BROADWAY-LAFAYETTE ST,M,B D F M,Subway,40.725297,-73.996204,Uptown & The Bronx - Queens,Downtown & Brooklyn,1,,,,,
425,425,425,212,IRT,Lenox - White Plains Rd,BRONX PARK EAST,Bx,2 5,Elevated,40.848828,-73.868457,Wakefield - 241 St,Manhattan,0,,,,,
376,376,376,618,IRT,Pelham,BROOK AV,Bx,6,Subway,40.807566,-73.91924,Pelham Bay Park,Manhattan,0,,,,,
411,411,622,640,IRT,Lexington Av,BROOKLYN BRIDGE-CITY HALL,M,4 5 6,Subway,40.713065,-74.004131,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
361,361,361,602,IRT,Pelham,BUHRE AV,Bx,6,Elevated,40.84681,-73.832569,Pelham Bay Park,Manhattan,0,,,,,
422,422,422,209,IRT,Lenox - White Plains Rd,BURKE AV,Bx,2 5,Elevated,40.871356,-73.867164,Wakefield - 241 St,Manhattan,0,,,,,
384,384,384,409,IRT,Jerome Av,BURNSIDE AV,Bx,4,Elevated,40.853453,-73.907684,Woodlawn,Manhattan,0,,,,,
130,131,131,L21,BMT,Canarsie,BUSHWICK AV-ABERDEEN ST,Bk,L,Subway,40.682829,-73.905249,Manhattan,Canarsie - Rockaway Parkway,0,,,,,
103,104,623,M20,BMT,Jamaica,CANAL ST,M,J Z,Subway,40.718092,-73.999892,Brooklyn,Broad St,0,,,,,
325,325,325,135,IRT,Broadway - 7Av,CANAL ST,M,1,Subway,40.722854,-74.006277,Uptown & The Bronx,Downtown,0,,,,,
17,18,623,R23,BMT,Broadway,CANAL ST,M,R W,Subway,40.719527,-74.001775,Uptown & Queens,Downtown & Brooklyn,0,,,,,
18,19,623,Q01,BMT,Manhattan Bridge,CANAL ST,M,N Q,Subway,40.718383,-74.00046,Uptown & Queens,Downtown & Brooklyn,0,,,,,
410,410,623,639,IRT,Lexington Av,CANAL ST,M,6,Subway,40.718803,-74.000193,Uptown & The Bronx,Downtown,1,,,,,
169,169,169,A34,IND,8th Av - Fulton St,CANAL ST,M,A C E,Subway,40.720824,-74.005229,Uptown - Queens,Downtown & Brooklyn,0,,,,,
137,138,138,L29,BMT,Canarsie,CANARSIE-ROCKAWAY PKWY,Bk,L,At Grade,40.646654,-73.90185,Manhattan,,1,,,,,
237,237,237,F21,IND,6th Av - Culver,CARROLL ST,Bk,F G,Subway,40.680303,-73.995048,Manhattan - Queens,Church Av - Coney Island,0,,,,,
365,365,365,607,IRT,Pelham,CASTLE HILL AV,Bx,6,Elevated,40.834255,-73.851222,Pelham Bay Park,Manhattan,0,,,,,
308,308,308,118,IRT,Broadway - 7Av,CATHEDRAL PKWY (110 ST),M,1,Subway,40.803967,-73.966847,Uptown & The Bronx,Downtown,0,,,,,
154,155,155,A17,IND,8th Av - Fulton St,CATHEDRAL PKWY (110 ST),M,B C,Subway,40.800603,-73.958161,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
113,114,114,M10,BMT,Myrtle Av,CENTRAL AV,Bk,M,Elevated,40.697857,-73.927397,Manhattan,Metropolitan Av,0,,,,,
441,441,441,227,IRT,Lenox - White Plains Rd,CENTRAL PARK NORTH (110 ST),M,2 3,Subway,40.799075,-73.951822,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
104,105,622,M21,BMT,Jamaica,CHAMBERS ST,M,J Z,Subway,40.713243,-74.003401,Brooklyn,Broad St,1,,,,,
327,327,327,137,IRT,Broadway - 7Av,CHAMBERS ST,M,1 2 3,Subway,40.715478,-74.009266,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
170,170,624,A36,IND,8th Av - Fulton St,CHAMBERS ST,M,A C,Subway,40.714111,-74.008585,Uptown,Downtown & Brooklyn,0,,,,,
92,93,93,J28,BMT,Jamaica,CHAUNCEY ST,Bk,J Z,Elevated,40.682893,-73.910456,Jamaica,Manhattan,0,,,,,
323,323,323,133,IRT,Broadway - 7Av,CHRISTOPHER ST-SHERIDAN SQ,M,1,Subway,40.733422,-74.002906,Uptown & The Bronx,Downtown,0,,,,,
356,356,356,244,IRT,Nostrand,CHURCH AV,Bk,2 5,Subway,40.650843,-73.949575,Manhattan,Flatbush,1,,,,,
43,44,44,D28,BMT,Broadway - Brighton,CHURCH AV,Bk,B Q,Open Cut,40.650527,-73.962982,Manhattan,Brighton Beach & Coney Island,0,,,,,
243,243,243,F27,IND,6th Av - Culver,CHURCH AV,Bk,F G,Subway,40.644041,-73.979678,Manhattan,Coney Island,1,,,,,
