,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
462,461,461,R09,BMT,Astoria,QUEENSBORO PLAZA,Q,N W,Elevated,40.750582,-73.940202,Astoria - Flushing,Manhattan,0,,,,,
182,182,182,A49,IND,8th Av - Fulton St,RALPH AV,Bk,C,Subway,40.678822,-73.920786,Manhattan,Euclid Av,0,,,,,
21,22,22,R26,BMT,Broadway,RECTOR ST,M,R W,Subway,40.70722,-74.013342,Uptown & Queens,Downtown & Brooklyn,0,,,,,
329,329,329,139,IRT,Broadway - 7Av,RECTOR ST,M,1,Subway,40.707513,-74.013783,Uptown & The Bronx,Downtown,0,,,,,
493,519,519,S13,SIR,Staten Island,RICHMOND VALLEY,SI,SIR,Open Cut,40.519631,-74.229141,St George,Tottenville,0,,,,,
348,348,348,253,IRT,Eastern Pky,ROCKAWAY AV,Bk,3,Elevated,40.662549,-73.908946,Manhattan,New Lots,0,,,,,
183,183,183,A50,IND,8th Av - Fulton St,ROCKAWAY AV,Bk,C,Subway,40.67834,-73.911946,Manhattan,Euclid Av,0,,,,,
192,192,192,A61,IND,Liberty Av,ROCKAWAY BLVD,Q,A,Elevated,40.680429,-73.843853,Manhattan,Lefferts - Rockaways,0,,,,,
203,203,203,H15,IND,Rockaway,ROCKAWAY PARK-BEACH 116 ST,Q,A S,At Grade,40.580903,-73.835592,Manhattan,,1,,,,,
222,222,222,B06,IND,63rd St,ROOSEVELT ISLAND,M,F,Subway,40.759145,-73.95326,Queens,Manhattan,1,,,,,
347,347,347,252,IRT,Eastern Pky,SARATOGA AV,Bk,3,Elevated,40.661453,-73.916327,Manhattan,New Lots,0,,,,,
110,111,111,M06,BMT,Myrtle Av,SENECA AV,Q,M,Elevated,40.702762,-73.90774,Manhattan,Metropolitan Av,0,,,,,
53,54,54,D39,BMT,Broadway - Brighton,SHEEPSHEAD BAY,Bk,B Q,Open Cut,40.586896,-73.954155,Manhattan,Brighton Beach & Coney Island,0,,,,,
187,187,187,A54,IND,8th Av - Fulton St,SHEPHERD AV,Bk,C,Subway,40.67413,-73.88075,Manhattan,Euclid Av,0,,,,,
430,430,430,217,IRT,Lenox - White Plains Rd,SIMPSON ST,Bx,2 5,Elevated,40.824073,-73.893064,Wakefield - Eastchester,Manhattan,1,,,,,
238,238,238,F22,IND,6th Av - Culver,SMITH-9 STS,Bk,F G,Viaduct,40.67358,-73.995959,Manhattan - Queens,Church Av - Coney Island,0,,,,,
330,330,635,142,IRT,Broadway - 7Av,SOUTH FERRY,M,1,Subway,40.702068,-74.013664,Uptown & The Bronx,,1,,,,,
409,409,409,638,IRT,Lexington Av,SPRING ST,M,6,Subway,40.722301,-73.997141,Uptown & The Bronx,Downtown,0,,,,,
168,168,168,A33,IND,8th Av - Fulton St,SPRING ST,M,C E,Subway,40.726227,-74.003739,Uptown - Queens,Downtown & Brooklyn,0,,,,,
475,501,501,S31,SIR,Staten Island,ST GEORGE,SI,SIR,Open Cut,40.643748,-74.073643,,Tottenville,1,,,,,
367,367,367,609,IRT,Pelham,ST LAWRENCE AV,Bx,6,Elevated,40.831509,-73.867618,Pelham Bay Park,Manhattan,0,,,,,
477,503,503,S29,SIR,Staten Island,STAPLETON,SI,SIR,Elevated,40.627915,-74.075162,St George,Tottenville,0,,,,,
271,271,271,G19,IND,Queens Blvd,STEINWAY ST,Q,M R,Subway,40.756879,-73.92074,Forest Hills,Manhattan,0,,,,,
354,354,354,242,IRT,Nostrand,STERLING ST,Bk,2 5,Subway,40.662742,-73.95085,Manhattan,Flatbush,0,,,,,
257,257,257,F04,IND,Queens Blvd,SUTPHIN BLVD,Q,F,Subway,40.70546,-73.810708,179 St,Manhattan,0,,,,,
279,279,279,G06,IND,Queens - Archer,SUTPHIN BLVD-ARCHER AV-JFK AIRPORT,Q,E J Z,Subway,40.700486,-73.807969,Jamaica Center,Manhattan,1,,,,,
133,134,134,L25,BMT,Canarsie,SUTTER AV,Bk,L,Elevated,40.669367,-73.901975,Manhattan,Canarsie - Rockaway Parkway,0,,,,,
346,346,346,251,IRT,Eastern Pky,SUTTER AV-RUTLAND RD,Bk,3,Elevated,40.664717,-73.92261,Manhattan,New Lots,0,,,,,
10,11,611,R16,BMT,Broadway - Brighton,TIMES SQ-42 ST,M,N Q R W,Subway,40.754672,-73.986754,Uptown & Queens,Downtown & Brooklyn,1,,,,,
317,317,611,127,IRT,Broadway - 7Av,TIMES SQ-42 ST,M,1 2 3,Subway,40.75529,-73.987495,Uptown & The Bronx,Downtown & Brooklyn,1,,,,,
469,468,611,902,IRT,Lexington - Shuttle,TIMES SQ-42 ST,M,S,Subway,40.755983,-73.986229,,Grand Central,0,,,,,
468,467,611,725,IRT,Flushing,TIMES SQ-42 ST,M,7,Subway,40.755477,-73.987691,Queens,34 St - Hudson Yards,1,,,,,
476,502,502,S30,SIR,Staten Island,TOMPKINSVILLE,SI,SIR,At Grade,40.636949,-74.074835,St George,Tottenville,0,,,,,
494,522,522,S09,SIR,Staten Island,TOTTENVILLE,SI,SIR,At Grade,40.512764,-74.251961,St George,,1,,,,,
215,215,215,D07,IND,Concourse,TREMONT AV,Bx,B D,Subway,40.85041,-73.905227,Bedford Pk Blvd & 205 St,Manhattan,0,,,,,
27,28,28,R32,BMT,4th Av,UNION ST,Bk,R,Subway,40.677316,-73.98311,Manhattan,Bay Ridge - 95 St,0,,,,,
181,181,181,A48,IND,8th Av - Fulton St,UTICA AV,Bk,A C,Subway,40.679364,-73.930729,Manhattan,Euclid - Lefferts - Rockaways,1,,,,,
293,293,293,101,IRT,Broadway - 7Av,VAN CORTLANDT PARK-242 ST,Bx,1,Elevated,40.889248,-73.898583,,Manhattan,0,,,,,
186,186,186,A53,IND,8th Av - Fulton St,VAN SICLEN AV,Bk,C,Subway,40.67271,-73.890358,Manhattan,Euclid Av,0,,,,,
351,351,351,256,IRT,Eastern Pky,VAN SICLEN AV,Bk,3,Elevated,40.665449,-73.889395,Manhattan,New Lots,0,,,,,
89,90,90,J23,BMT,Jamaica,VAN SICLEN AV,Bk,J Z,Elevated,40.678024,-73.891688,Jamaica,Manhattan,0,,,,,
