,DOW,TOD,complex_id,avg(entries),avg(exits)
121,weekday,morning,243,1463.6296296296296,588.2222222222222
122,weekday,morning,244,599.9397590361446,237.66265060240963
123,weekday,morning,245,497.775,347.225
124,weekday,morning,246,212.1125,143.6625
125,weekday,morning,247,202.0759493670886,85.72151898734177
126,weekday,morning,248,468.0987654320988,118.32098765432099
127,weekday,morning,249,402.25,119.5875
128,weekday,morning,250,516.1375,340.3375
129,weekday,morning,251,273.0617283950617,109.8641975308642
130,weekday,morning,252,411.3625,249.675
131,weekday,morning,253,223.975,118.575
132,weekday,morning,254,3439.6588235294116,635.9058823529411
133,weekday,morning,255,1098.3625,692.8625
134,weekday,morning,256,1001.8375,714.7
135,weekday,morning,257,684.2125,238.4625
136,weekday,morning,258,781.8765432098766,289.61728395061726
137,weekday,morning,259,3700.731707317073,2465.817073170732
138,weekday,morning,26,1315.2272727272727,1741.8181818181818
139,weekday,morning,260,443.8625,117.1875
140,weekday,morning,261,3090.4666666666667,1171.4555555555555
141,weekday,morning,262,1209.641975308642,393.5432098765432
142,weekday,morning,263,1971.2625,572.3125
143,weekday,morning,264,2639.154761904762,1180.7738095238096
144,weekday,morning,265,2976.775,856.975
145,weekday,morning,266,2149.3125,349.2
146,weekday,morning,268,560.1375,198.8625
147,weekday,morning,269,1001.925,558.5
148,weekday,morning,270,1093.20987654321,786.7037037037037
149,weekday,morning,271,1338.888888888889,1139.432098765432
150,weekday,morning,272,288.0246913580247,494.77777777777777
151,weekday,morning,273,869.8072289156627,1953.6265060240964
152,weekday,morning,276,597.825,5887.125
153,weekday,morning,277,645.55,2941.0125
154,weekday,morning,278,4625.716049382716,2905.0864197530864
155,weekday,morning,279,3168.4875,2287.95
156,weekday,morning,28,588.1,633.9125
157,weekday,morning,280,662.35,576.975
158,weekday,morning,282,93.7125,389.6
159,weekday,morning,283,791.5432098765432,953.4691358024692
160,weekday,morning,284,749.65,1280.025
161,weekday,morning,286,511.4512195121951,466.9878048780488
162,weekday,morning,287,310.71084337349396,670.4578313253012
163,weekday,morning,288,676.702380952381,302.75
164,weekday,morning,289,915.75,420.7375
165,weekday,morning,290,543.675,585.525
166,weekday,morning,291,447.5875,382.525
167,weekday,morning,292,463.45,715.55
168,weekday,morning,293,1201.6375,251.125
169,weekday,morning,294,651.925925925926,40.50617283950617
170,weekday,morning,295,1289.4,106.575
171,weekday,morning,296,722.65,102.375
172,weekday,morning,297,248.3375,89.3875
173,weekday,morning,298,909.3417721518987,345.40506329113924
174,weekday,morning,299,1037.6049382716049,446.5061728395062
175,weekday,morning,3,1570.3048780487804,870.5
176,weekday,morning,30,614.1975308641976,720.1604938271605
177,weekday,morning,300,1084.1375,920.7
178,weekday,morning,301,1140.0,1048.1625
179,weekday,morning,303,1475.3,645.8
180,weekday,morning,304,1263.575,636.425
181,weekday,morning,305,1541.5625,1230.575
182,weekday,morning,306,653.5125,1151.7125
183,weekday,morning,307,541.2098765432099,1432.358024691358
184,weekday,morning,308,908.7560975609756,935.8170731707318
185,weekday,morning,309,1239.3875,725.5625
186,weekday,morning,31,432.775,445.2375
187,weekday,morning,310,2998.8395061728397,4322.802469135802
188,weekday,morning,311,1374.3125,2579.65
189,weekday,morning,312,951.1975308641976,1578.1975308641975
190,weekday,morning,313,2404.7875,4812.475
191,weekday,morning,314,915.9625,3490.3875
192,weekday,morning,316,983.8571428571429,3558.8214285714284
193,weekday,morning,318,3606.2638036809817,3370.5153374233128
194,weekday,morning,319,724.825,1682.475
195,weekday,morning,32,1452.7625,1497.975
196,weekday,morning,320,677.925,1707.1125
197,weekday,morning,321,331.525,824.6375
198,weekday,morning,323,455.69135802469134,960.5061728395061
199,weekday,morning,324,433.525,1536.9375
200,weekday,morning,325,190.3625,807.2
201,weekday,morning,326,244.5625,513.65
202,weekday,morning,327,744.0123456790124,3013.395061728395
203,weekday,morning,328,819.3253012048193,1567.0481927710844
204,weekday,morning,329,455.425,638.675
205,weekday,morning,33,1180.7125,439.625
206,weekday,morning,333,599.8125,3085.8625
207,weekday,morning,334,0.3974358974358974,0.7307692307692307
208,weekday,morning,336,391.3375,1046.7875
209,weekday,morning,337,643.4216867469879,1342.1566265060242
210,weekday,morning,339,355.4375,340.2
211,weekday,morning,34,1370.725,938.35
212,weekday,morning,340,690.875,320.925
213,weekday,morning,341,386.3625,475.775
214,weekday,morning,343,394.1875,419.6875
215,weekday,morning,344,495.2125,461.6125
216,weekday,morning,345,3810.45,1622.525
217,weekday,morning,346,1026.95,698.35
218,weekday,morning,347,851.8625,413.8
219,weekday,morning,348,724.85,507.0875
220,weekday,morning,349,335.5625,342.425
221,weekday,morning,35,1885.7654320987654,1290.3703703703704
222,weekday,morning,350,659.7375,276.45
223,weekday,morning,351,441.525,240.2125
224,weekday,morning,352,832.775,553.6375
225,weekday,morning,353,473.1625,498.5
226,weekday,morning,354,756.4,293.8625
227,weekday,morning,355,898.358024691358,212.44444444444446
228,weekday,morning,356,1491.1358024691358,212.69135802469137
229,weekday,morning,357,742.6625,82.1625
230,weekday,morning,358,1204.132530120482,412.03614457831327
231,weekday,morning,359,2867.725,1314.3125
232,weekday,morning,36,1179.9382716049383,468.39506172839504
233,weekday,morning,360,931.8536585365854,440.1219512195122
234,weekday,morning,361,693.575,242.275
235,weekday,morning,362,346.81481481481484,185.53086419753086
236,weekday,morning,363,697.358024691358,880.2222222222222
237,weekday,morning,364,423.8375,259.5125
238,weekday,morning,365,1040.925,537.1875
239,weekday,morning,366,2595.9875,1053.5625
240,weekday,morning,367,718.225,287.7
241,weekday,morning,368,1108.5443037974683,489.2278481012658
242,weekday,morning,369,1151.4814814814815,599.0987654320987
243,weekday,morning,37,801.025,159.8375
244,weekday,morning,370,306.2375,238.1625
245,weekday,morning,371,1491.1,1287.575
246,weekday,morning,372,474.9,512.875
247,weekday,morning,373,788.5375,531.2375
248,weekday,morning,374,111.37037037037037,383.71604938271605
249,weekday,morning,375,366.8048780487805,419.2317073170732
250,weekday,morning,376,862.4875,757.0625
251,weekday,morning,377,1056.05,717.875
252,weekday,morning,378,972.35,168.3625
253,weekday,morning,379,1173.2469135802469,501.3703703703704
254,weekday,morning,38,1641.8915662650602,923.8674698795181
255,weekday,morning,380,681.95,652.175
256,weekday,morning,381,1374.0,562.6582278481013
257,weekday,morning,382,1384.0125,245.5875
258,weekday,morning,383,971.5316455696203,300.26582278481015
259,weekday,morning,384,1391.7375,546.2
260,weekday,morning,385,820.225,433.9375
261,weekday,morning,386,749.873417721519,433.2278481012658
262,weekday,morning,387,1129.4875,721.1375
263,weekday,morning,388,1425.35,941.9625
264,weekday,morning,39,796.875,307.575
265,weekday,morning,391,363.6,567.7125
266,weekday,morning,392,2427.0,3887.378048780488
267,weekday,morning,393,1621.25,1547.275
268,weekday,morning,394,1265.2375,1404.625
269,weekday,morning,395,1282.2716049382716,2079.4444444444443
270,weekday,morning,396,1255.9634146341464,1495.8536585365853
271,weekday,morning,397,2639.8,6431.275
272,weekday,morning,398,1442.121951219512,4983.585365853659
273,weekday,morning,399,1115.275,4537.05
274,weekday,morning,4,1429.1375,860.65
275,weekday,morning,403,1185.860465116279,3255.1744186046512
276,weekday,morning,404,890.3703703703703,3064.432098765432
277,weekday,morning,405,1165.0111111111112,3517.9222222222224
278,weekday,morning,407,612.0120481927711,2043.0240963855422
279,weekday,morning,409,416.4320987654321,1490.1975308641975
280,weekday,morning,41,850.7625,887.7875
281,weekday,morning,413,783.2098765432099,1786.5061728395062
282,weekday,morning,414,1496.567901234568,4158.962962962963
283,weekday,morning,416,717.0625,510.5
284,weekday,morning,417,580.3375,179.55
285,weekday,morning,418,785.9125,205.25
286,weekday,morning,419,609.6913580246913,216.82716049382717
287,weekday,morning,42,1219.2875,730.1625
288,weekday,morning,420,514.6875,189.7125
289,weekday,morning,421,933.575,986.425
290,weekday,morning,422,554.3875,140.8
291,weekday,morning,423,767.8625,251.9875
292,weekday,morning,424,1100.6625,444.0375
293,weekday,morning,425,415.125,145.625
294,weekday,morning,426,1241.975,563.1625
295,weekday,morning,427,868.8658536585366,549.7317073170732
296,weekday,morning,428,892.7,771.65
297,weekday,morning,429,699.4320987654321,459.4320987654321
298,weekday,morning,43,805.8875,342.325
299,weekday,morning,430,1151.375,278.15
300,weekday,morning,431,440.4512195121951,412.3536585365854
301,weekday,morning,432,989.475,302.5125
302,weekday,morning,433,782.0506329113924,168.0632911392405
303,weekday,morning,434,2272.9397590361446,1589.3975903614457
304,weekday,morning,436,516.9625,336.1
305,weekday,morning,437,488.3125,50.675
306,weekday,morning,438,1376.7,638.9625
307,weekday,morning,439,1153.075,1056.925
308,weekday,morning,44,2243.5119047619046,1150.857142857143
309,weekday,morning,440,1152.4125,681.55
310,weekday,morning,441,824.8375,904.4375
311,weekday,morning,442,771.9,462.4375
312,weekday,morning,443,532.275,91.0875
313,weekday,morning,444,861.8536585365854,409.3170731707317
314,weekday,morning,445,513.5375,301.7
315,weekday,morning,446,453.4375,142.8625
316,weekday,morning,447,7533.675,4956.0625
317,weekday,morning,448,272.2098765432099,640.1728395061729
318,weekday,morning,449,2383.35,593.825
319,weekday,morning,45,530.0375,228.3375
320,weekday,morning,450,3707.325,1221.325
321,weekday,morning,451,4094.1951219512193,1319.1097560975609
322,weekday,morning,452,2833.1125,689.65
323,weekday,morning,453,2196.7901234567903,1865.1975308641975
324,weekday,morning,455,906.9876543209876,562.679012345679
325,weekday,morning,456,2880.3333333333335,1312.320987654321
326,weekday,morning,457,959.3625,377.3375
327,weekday,morning,458,1741.5125,1143.5875
328,weekday,morning,459,1226.75,992.8375
329,weekday,morning,46,924.55,196.375
330,weekday,morning,460,441.9259259259259,2131.8518518518517
331,weekday,morning,461,1121.1,675.3875
332,weekday,morning,463,516.05,906.4625
333,weekday,morning,464,1291.875,1338.7375
334,weekday,morning,47,1642.4556962025317,707.506329113924
335,weekday,morning,471,634.2592592592592,3522.135802469136
336,weekday,morning,475,1782.9125,1702.925
337,weekday,morning,476,1918.1,1784.8375
338,weekday,morning,477,1627.3625,4987.3875
339,weekday,morning,48,420.7,377.8625
340,weekday,morning,49,763.7,420.375
341,weekday,morning,5,757.0875,747.75
342,weekday,morning,50,769.275,524.45
343,weekday,morning,501,633.5102040816327,0.12244897959183673
344,weekday,morning,502,84.44303797468355,0.0
345,weekday,morning,51,2776.703703703704,1656.0864197530864
346,weekday,morning,52,1134.775,223.95
347,weekday,morning,53,687.6867469879518,59.8433734939759
348,weekday,morning,54,1964.5625,1176.125
349,weekday,morning,55,1406.1728395061727,768.4197530864197
350,weekday,morning,56,401.4074074074074,139.45679012345678
351,weekday,morning,57,260.65,249.3375
352,weekday,morning,58,1721.9625,1238.8375
353,weekday,morning,59,1028.5375,414.35
354,weekday,morning,6,280.6875,426.0375
355,weekday,morning,60,625.075,390.65
356,weekday,morning,601,1936.325,4869.55
357,weekday,morning,602,3334.1585365853657,13122.426829268292
358,weekday,morning,603,1139.888888888889,1418.962962962963
359,weekday,morning,604,2497.3536585365855,1268.8902439024391
360,weekday,morning,605,1959.3456790123457,3267.4691358024693
361,weekday,morning,606,1347.5301204819277,2806.240963855422
362,weekday,morning,607,5427.650602409639,12319.963855421687
363,weekday,morning,608,1128.225,1535.95
364,weekday,morning,609,1343.1951219512196,8131.487804878048
365,weekday,morning,61,396.8536585365854,557.8414634146342
366,weekday,morning,610,3410.4011627906975,8831.837209302326
367,weekday,morning,611,6791.284848484848,9131.127272727274
368,weekday,morning,612,661.0,3560.4
369,weekday,morning,613,3488.320987654321,16124.0
370,weekday,morning,614,3089.6543209876545,9262.827160493827
371,weekday,morning,615,804.625,515.7875
372,weekday,morning,616,7207.222222222223,3251.4074074074074
373,weekday,morning,617,3494.012195121951,4476.829268292683
374,weekday,morning,618,1561.0875,6093.075
375,weekday,morning,619,601.19375,2416.76875
376,weekday,morning,62,223.1125,165.85
377,weekday,morning,620,2077.814814814815,3652.543209876543
378,weekday,morning,621,1053.825,724.5125
379,weekday,morning,622,1370.4125,5128.9875
380,weekday,morning,623,1476.8214285714287,4754.142857142857
381,weekday,morning,624,1350.8711656441717,3569.411042944785
382,weekday,morning,625,1707.5125,3091.0375
383,weekday,morning,626,131.77215189873417,359.53164556962025
384,weekday,morning,627,921.574074074074,690.6975308641976
385,weekday,morning,628,1919.6506024096386,4205.704819277108
386,weekday,morning,629,938.5308641975308,985.8024691358024
387,weekday,morning,630,2363.85,947.5125
388,weekday,morning,635,2406.4875,3764.325
389,weekday,morning,636,1877.534090909091,4576.965909090909
390,weekday,morning,64,963.25,105.025
391,weekday,morning,65,1172.3625,275.15
392,weekday,morning,66,1021.3375,126.075
393,weekday,morning,67,878.1,79.3625
394,weekday,morning,68,1334.9875,527.775
395,weekday,morning,69,817.675,76.775
396,weekday,morning,70,492.8125,235.5625
397,weekday,morning,71,1528.8875,1515.95
398,weekday,morning,72,1259.275,327.95
399,weekday,morning,74,888.5308641975308,397.87654320987656
400,weekday,morning,75,759.3703703703703,593.9012345679013
401,weekday,morning,76,1319.7125,415.85
402,weekday,morning,77,1017.8875,421.2875
403,weekday,morning,78,711.9012345679013,309.01234567901236
