Employment_est,GEO_ID,NAME
3391,1400000US36005016000,"Census Tract 160, Bronx County, New York"
3560,1400000US36005016100,"Census Tract 161, Bronx County, New York"
1499,1400000US36005016200,"Census Tract 162, Bronx County, New York"
0,1400000US36005016300,"Census Tract 163, Bronx County, New York"
854,1400000US36005016400,"Census Tract 164, Bronx County, New York"
691,1400000US36005016500,"Census Tract 165, Bronx County, New York"
1722,1400000US36005016600,"Census Tract 166, Bronx County, New York"
2416,1400000US36005016700,"Census Tract 167, Bronx County, New York"
1351,1400000US36005016900,"Census Tract 169, Bronx County, New York"
0,1400000US36005017100,"Census Tract 171, Bronx County, New York"
5036,1400000US36005017300,"Census Tract 173, Bronx County, New York"
5289,1400000US36005017500,"Census Tract 175, Bronx County, New York"
3373,1400000US36005017701,"Census Tract 177.01, Bronx County, New York"
3859,1400000US36005017702,"Census Tract 177.02, Bronx County, New York"
3828,1400000US36005017901,"Census Tract 179.01, Bronx County, New York"
2768,1400000US36005017902,"Census Tract 179.02, Bronx County, New York"
2273,1400000US36005018101,"Census Tract 181.01, Bronx County, New York"
4154,1400000US36005018102,"Census Tract 181.02, Bronx County, New York"
3670,1400000US36005018301,"Census Tract 183.01, Bronx County, New York"
2737,1400000US36005018302,"Census Tract 183.02, Bronx County, New York"
3156,1400000US36005018400,"Census Tract 184, Bronx County, New York"
2032,1400000US36005018501,"Census Tract 185.01, Bronx County, New York"
4739,1400000US36005018502,"Census Tract 185.02, Bronx County, New York"
5584,1400000US36005018900,"Census Tract 189, Bronx County, New York"
4897,1400000US36005019300,"Census Tract 193, Bronx County, New York"
1753,1400000US36005019400,"Census Tract 194, Bronx County, New York"
5774,1400000US36005019500,"Census Tract 195, Bronx County, New York"
5256,1400000US36005019700,"Census Tract 197, Bronx County, New York"
5731,1400000US36005019900,"Census Tract 199, Bronx County, New York"
3551,1400000US36005020000,"Census Tract 200, Bronx County, New York"
2990,1400000US36005020100,"Census Tract 201, Bronx County, New York"
1913,1400000US36005020200,"Census Tract 202, Bronx County, New York"
2451,1400000US36005020400,"Census Tract 204, Bronx County, New York"
5008,1400000US36005020501,"Census Tract 205.01, Bronx County, New York"
2028,1400000US36005020502,"Census Tract 205.02, Bronx County, New York"
1948,1400000US36005020601,"Census Tract 206.01, Bronx County, New York"
3494,1400000US36005020900,"Census Tract 209, Bronx County, New York"
6846,1400000US36005021001,"Census Tract 210.01, Bronx County, New York"
6143,1400000US36005021002,"Census Tract 210.02, Bronx County, New York"
3919,1400000US36005021100,"Census Tract 211, Bronx County, New York"
4180,1400000US36005021200,"Census Tract 212, Bronx County, New York"
895,1400000US36005021301,"Census Tract 213.01, Bronx County, New York"
4098,1400000US36005021302,"Census Tract 213.02, Bronx County, New York"
3445,1400000US36005021501,"Census Tract 215.01, Bronx County, New York"
4835,1400000US36005021502,"Census Tract 215.02, Bronx County, New York"
3190,1400000US36005021601,"Census Tract 216.01, Bronx County, New York"
4833,1400000US36005021602,"Census Tract 216.02, Bronx County, New York"
4009,1400000US36005021700,"Census Tract 217, Bronx County, New York"
5175,1400000US36005021800,"Census Tract 218, Bronx County, New York"
715,1400000US36005021900,"Census Tract 219, Bronx County, New York"
1473,1400000US36005022000,"Census Tract 220, Bronx County, New York"
2603,1400000US36005022101,"Census Tract 221.01, Bronx County, New York"
3940,1400000US36005022102,"Census Tract 221.02, Bronx County, New York"
2385,1400000US36005022200,"Census Tract 222, Bronx County, New York"
4118,1400000US36005022300,"Census Tract 223, Bronx County, New York"
