,complex_id,Stop Name,Complex_id,cs_ibx_peak,cs_ibx_offpeak,cs_noibx_peak,cs_noibx_offpeak
130,384,BURNSIDE AV,409,0.0148897285162551,0.0097301595534387,0.0149968009403152,0.0098053752659067
131,385,176 ST,410,0.0152208234021593,0.0098704684708046,0.0153325851577566,0.0099478173400037
132,386,MT EDEN AV,411,0.0154900754620517,0.0099829978956268,0.0156057078433351,0.0100620720577807
133,387,170 ST,412,0.0157899153287136,0.010106685383078,0.0159099165606031,0.0101876700142239
134,388,167 ST,413,0.016122737114982,0.0102420132552611,0.0162476613701717,0.0103251056308553
135,391,138 ST-GRAND CONCOURSE,416,0.0177217979229657,0.0110332041132665,0.0178614960660831,0.0111014649668654
136,413,WALL ST,419,0.0208640416759412,0.0120985610832644,0.0209413811571767,0.0121151792624242
137,414,BOWLING GREEN,420,0.020657862640312,0.0120267779365266,0.020724990366502,0.0120387640802596
138,442,EASTCHESTER-DYRE AV,501,0.0115186216278104,0.0080996787599107,0.0115789883957764,0.008133602990806
139,443,BAYCHESTER AV,502,0.0119247234094918,0.0082984018465394,0.0119894125165007,0.0083340045320081
140,444,GUN HILL RD,503,0.0123429217100496,0.0084987878693741,0.0124121925514993,0.0085361117801652
141,445,PELHAM PKWY,504,0.0128615074323898,0.0087414782592822,0.0129366456155607,0.0087809261231867
142,446,MORRIS PARK,505,0.0131264029397657,0.0088630421764188,0.0132046140267526,0.0089035685222778
143,360,PELHAM BAY PARK,601,0.011805319154647,0.0080900304979625,0.0118662736579163,0.0081345700492221
144,361,BUHRE AV,602,0.0120552078182355,0.0082066061546768,0.0121187641924303,0.0082524362234029
145,362,MIDDLETOWN RD,603,0.0122157351300878,0.0082806833263421,0.0122809818542592,0.0083273385156773
146,363,WESTCHESTER SQ-E TREMONT AV,604,0.0124747980957266,0.0083989171331415,0.0125428035575305,0.0084468972655618
147,364,ZEREGA AV,606,0.0126671510117719,0.0084856724017821,0.0127372299107475,0.0085346311769848
148,365,CASTLE HILL AV,607,0.0128336002508116,0.0085600456415511,0.0129054881468141,0.0086098466308727
149,366,PARKCHESTER,608,0.0131601842077098,0.008704119536728,0.0132356678584971,0.0087555634227077
150,367,ST LAWRENCE AV,609,0.0134119224650952,0.0088135330856689,0.0134902218390071,0.0088662355619597
151,368,MORRISON AV-SOUNDVIEW,610,0.0136804843038704,0.008928716747298,0.0137618273357395,0.0089827533141068
152,369,ELDER AV,611,0.0138606710518717,0.009005120677863,0.0139440772118635,0.0090600465088978
153,370,WHITLOCK AV,612,0.0141556059198692,0.0091286902107412,0.014242425733978,0.0091850616604361
154,371,HUNTS POINT AV,613,0.0144982569834993,0.0092699748186544,0.0145891063602729,0.0093280129691989
155,372,LONGWOOD AV,614,0.0148648969557765,0.0094185077558351,0.0149601351293802,0.0094783145812522
156,373,E 149 ST,615,0.0152771320337631,0.0095823382748028,0.0153774010651991,0.0096441159128192
157,374,E 143 ST-ST MARY'S ST,616,0.0155416450897879,0.0096857363454412,0.015645192849664,0.0097487674274043
158,375,CYPRESS AV,617,0.0159145672518002,0.0098292789008695,0.0160228019967925,0.0098940613429118
159,376,BROOK AV,618,0.0162118599377446,0.0099418810733932,0.0163238853713046,0.0100080466018649
160,377,3 AV-138 ST,619,0.0166224236175219,0.0100947851205844,0.0167397631427542,0.0101628417502898
161,392,125 ST,621,0.018738474199085,0.011736302491356,0.018897862633081,0.0118214813522135
162,393,116 ST,622,0.0177077279965056,0.0105030512570736,0.0178358422678944,0.0105753216175232
163,394,110 ST,623,0.0179105480610181,0.010588113206454,0.0180385422883452,0.0106607776117282
164,395,103 ST,624,0.0181674225991784,0.0106944616876383,0.0182952847846335,0.0107676218559614
165,396,96 ST,625,0.0184678340153095,0.0108161415500915,0.0185956603411208,0.0108898815898634
166,397,86 ST,626,0.0202655195597813,0.0123131691641223,0.0204244154812234,0.0123964821150975
167,398,77 ST,627,0.0193661177915197,0.0111329217391159,0.0194976329899195,0.0112083605510405
168,399,68 ST-HUNTER COLLEGE,628,0.0198030761748403,0.0112877804458434,0.0199362661615361,0.0113641724476766
169,403,33 ST,632,0.020718144284488,0.0116665563167739,0.0208394398454572,0.0117422162999249
170,404,28 ST,633,0.0207777434444117,0.0116918918548586,0.0208966550388501,0.011767037543815
171,405,23 ST,634,0.0208589910661149,0.0117206209252261,0.0209755815711308,0.011795171225843
172,407,ASTOR PL,636,0.0211325411365305,0.0118073248126088,0.0212486604652309,0.0118818904457261
173,409,SPRING ST,638,0.0209531301677677,0.0117477467003492,0.0210708946302399,0.0118226276711798
174,447,FLUSHING-MAIN ST,701,0.0145277847989934,0.0095258939308149,0.0137770497595026,0.0094051479847871
175,448,METS-WILLETS POINT,702,0.0152234810408047,0.0098201532985205,0.0144011254053004,0.0096918677880395
176,449,111 ST,705,0.0156852234964602,0.01001024274357,0.0148136068935345,0.0098769555895161
177,450,103 ST-CORONA PLAZA,706,0.0160465421929691,0.0101561892334572,0.0151354166381028,0.0100189891592234
178,451,JUNCTION BLVD,707,0.0163805519429801,0.0102889751616712,0.0154321519581465,0.0101481585230866
179,452,90 ST-ELMHURST AV,708,0.0167410773798169,0.0104300608422091,0.0157516356347402,0.010285342223857
180,453,82 ST-JACKSON HTS,709,0.0171166986342367,0.0105746378038405,0.0160836077429344,0.0104258573217822
181,455,69 ST,711,0.0176151773357272,0.0108024632407166,0.0166512185095301,0.0106621648314148
182,456,WOODSIDE-61 ST,712,0.0177328949487692,0.0108962084242566,0.0169213268413719,0.0107724840299421
183,457,52 ST,713,0.0179496734277098,0.0110423230235162,0.017341692771161,0.0109415459159811
184,458,46 ST-BLISS ST,714,0.0181012943294301,0.0111371591425262,0.0176148200470716,0.0110496502692792
185,459,40 ST-LOWERY ST,715,0.0182602535999533,0.011229644813979,0.0178800779017162,0.0111534456975097
186,460,33 ST-RAWSON ST,716,0.0184950454989509,0.0113500561907574,0.0182249632674117,0.0112864097630415
187,463,HUNTERS POINT AV,720,0.019623184906365,0.0118012613722846,0.0195372520180084,0.0117754171717658
188,464,VERNON BLVD-JACKSON AV,721,0.0198111888593764,0.011873229482937,0.0197456397488086,0.0118514220252165
189,471,34 ST-HUDSON YARDS,726,0.0200177558456984,0.0119532049365973,0.0200732788720158,0.0119706679016205
190,143,INWOOD-207 ST,A02,0.0143021888064211,0.0095332661744395,0.0143913885813594,0.0096026309048653
191,144,DYCKMAN ST,A03,0.0146061944738406,0.0096673859664361,0.0146992232056512,0.0097387165587195
192,145,190 ST,A05,0.015036853270558,0.0098541825563228,0.0151354176858378,0.0099282855752674
193,146,181 ST,A06,0.0154666016031704,0.0100369439418174,0.0155708233358599,0.0101137995693981
194,147,175 ST,A07,0.0157227914949961,0.0101442087123053,0.0158304452599698,0.0102226967090278
195,149,163 ST-AMSTERDAM AV,A10,0.0163334235087171,0.0103620718881029,0.0164448931046024,0.0104414233538098
196,150,155 ST,A11,0.0166528767383573,0.0104979061651383,0.0167676822988869,0.0105790987205649
197,152,135 ST,A14,0.0188272513340092,0.0117340198117343,0.0189534912698101,0.0117983291887039
198,153,125 ST,A15,0.0196377416080778,0.0123834865475442,0.0197786708702106,0.0124638322462441
199,154,116 ST,A16,0.0195604491040627,0.0120548490811792,0.0196872378199668,0.0121199876528013
200,155,CATHEDRAL PKWY (110 ST),A17,0.0198483710405504,0.0121855065508144,0.0199753795761565,0.0122511959025868
201,156,103 ST,A18,0.0201477257454753,0.0123193603275374,0.0202749464367314,0.0123855976084932
202,157,96 ST,A19,0.0204530795108861,0.0124536019628534,0.0205805042282512,0.0125203671128546
203,158,86 ST,A20,0.0208700192317152,0.0126323984706347,0.0209978465958047,0.0126998616372224
204,159,81 ST-MUSEUM OF NATURAL HISTORY,A21,0.0212472394483784,0.0127729225985991,0.0213768225902928,0.0128409240351946
205,160,72 ST,A22,0.0217740184024791,0.0129698270585505,0.0219062551026774,0.0130387635874253
206,162,50 ST,A25,0.0225433734535234,0.013168970392891,0.0226830510553525,0.0132321731566774
207,164,34 ST-PENN STATION,A28,0.0228026265611888,0.0135399981759425,0.0229745467793404,0.0136246942977562
208,165,23 ST,A30,0.0223645227097014,0.0131971493231116,0.0225171915735517,0.0132743424859547
209,168,SPRING ST,A33,0.0220871241485975,0.0131103933730531,0.022225906899909,0.0131937247284007
210,169,CANAL ST,A34,0.0223555122697974,0.0133874482000302,0.0224937908037917,0.0134823210823348
211,173,HIGH ST,A40,0.0211884819856218,0.0125342167484142,0.0212592729449069,0.0126191793715412
212,175,HOYT-SCHERMERHORN STS,A42,0.0211927785657988,0.0125961979625056,0.0212361838769958,0.0126745963804191
213,176,LAFAYETTE AV,A43,0.0199480914475961,0.0118524925703514,0.0199685476488495,0.0119095482762606
214,177,CLINTON-WASHINGTON AVS,A44,0.0196109323908397,0.0116989726618875,0.0196183955903761,0.0117497683489962
215,179,NOSTRAND AV,A46,0.01929774425522,0.0117063742395961,0.0192850931966973,0.0117534191580489
216,180,KINGSTON-THROOP AVS,A47,0.0186217368829916,0.0112717887364401,0.0185827466073363,0.0113049876181431
217,181,UTICA AV,A48,0.018539611500737,0.0113740778398957,0.0184678979543423,0.0114064001370776
218,182,RALPH AV,A49,0.0179307247248279,0.0109589703316815,0.0178080176385936,0.0109772349971105
219,183,ROCKAWAY AV,A50,0.0176737490957407,0.0108361264631356,0.0174995472409856,0.0108472225324956
220,185,LIBERTY AV,A52,0.0170194841180957,0.0105635871046611,0.0168123365492516,0.010568979125521
221,186,VAN SICLEN AV,A53,0.0167000344069996,0.010439640198566,0.0165010994863457,0.010445128789319
222,187,SHEPHERD AV,A54,0.0162491275313983,0.0102616314334017,0.0160614767171322,0.0102672396955503
223,188,EUCLID AV,A55,0.0161735075792858,0.0103693883016546,0.0159998656126491,0.0103803454111334
224,189,GRANT AV,A57,0.0156375200708942,0.0100549436765059,0.0154330334217223,0.010061761028668
225,190,80 ST,A59,0.0153636869075489,0.0099410149911397,0.0151666439680091,0.0099478464495046
226,191,88 ST,A60,0.0150692516001501,0.0098169046253376,0.0148800415957701,0.0098237406419908
227,192,ROCKAWAY BLVD,A61,0.0147810205670315,0.0096937611182388,0.0145993081741188,0.0097005911046763
228,193,104 ST,A63,0.0145354640969512,0.0095875383814931,0.0143597435149564,0.0095942374415189
229,194,111 ST,A64,0.0142932443173363,0.0094815552903586,0.0141233227917272,0.0094881185902555
230,195,OZONE PARK-LEFFERTS BLVD,A65,0.0140509686644057,0.0093743311524448,0.0138867373137316,0.009380752103688
231,221,21 ST-QUEENSBRIDGE,B04,0.0202098380252984,0.0122278959224538,0.0202023175325918,0.0122324218124071
232,222,ROOSEVELT ISLAND,B06,0.0209499781570211,0.0125104257233696,0.0209979669316624,0.012526243565902
233,224,57 ST,B10,0.022263777337574,0.0129981562418495,0.0223727408485077,0.0130341429041752
234,59,9 AV,B12,0.0166929494292807,0.0104084126635485,0.0165322981746119,0.0103454245020294
235,60,FORT HAMILTON PKWY,B13,0.016411472147145,0.0102938755794107,0.0162104261338836,0.0102187761186737
236,61,50 ST,B14,0.0161802945624228,0.0101979210050546,0.0159424356004648,0.0101119914614784
237,62,55 ST,B15,0.0159678648248368,0.0101009795918163,0.0156749724007936,0.0100036986367673
238,64,71 ST,B17,0.0153683082897268,0.0098455438074075,0.0150379046699832,0.0097402844511622
239,65,79 ST,B18,0.0150302760215085,0.0097119172495183,0.0147304273833803,0.0096101436821406
240,66,18 AV,B19,0.0147448954757484,0.0095957580956602,0.0144666545904883,0.009496997747481
241,67,20 AV,B20,0.0145410136630811,0.0095086879596038,0.01427387906545,0.0094121860313994
242,68,BAY PKWY,B21,0.0143457900456631,0.009424355382221,0.0140892464325672,0.0093300301253185
243,69,25 AV,B22,0.014054670794182,0.0092972176504712,0.0138140032418047,0.0092061566685153
244,70,BAY 50 ST,B23,0.0137307210674843,0.0091369683899023,0.0135084384302084,0.0090511818666811
245,210,NORWOOD-205 ST,D01,0.013169455159795,0.0088257154779374,0.0132465461022929,0.0088723606843021
246,211,BEDFORD PARK BLVD,D03,0.0142202594030336,0.009431871161275,0.0142962584980594,0.0094669015602316
247,212,KINGSBRIDGE RD,D04,0.0145960924496385,0.0095957518223267,0.01467616627145,0.0096320094881624
248,213,FORDHAM RD,D05,0.0149197711266124,0.0097345910024451,0.0150034050929553,0.0097718902024917
249,214,182-183 STS,D06,0.0152115210190717,0.0098579527012106,0.0152983987086453,0.009896176374401
250,215,TREMONT AV,D07,0.0155648906818963,0.0100051572375692,0.0156557410164998,0.0100444827558203
251,216,174-175 STS,D08,0.0158891617815099,0.0101381549047559,0.0159836998304418,0.0101784746856228
252,217,170 ST,D09,0.0162957686059863,0.0103021710137693,0.0163949885818583,0.010343715631238
253,218,167 ST,D10,0.0167019284203169,0.0104630286392135,0.0168058918774957,0.0105057740394987
254,220,155 ST,D12,0.0176613045420902,0.0108380858610019,0.0177722519688517,0.0108820871906546
255,277,7 AV,D14,0.0234013002733491,0.0135566687255345,0.023509716195894,0.0135955330553987
256,225,47-50 STS-ROCKEFELLER CTR,D15,0.0246688752234236,0.0145719098456954,0.0248189493614019,0.0146399732090475
257,228,23 ST,D18,0.0234669258517506,0.0137109196460864,0.0235868478167939,0.0137571596916272
258,231,GRAND ST,D22,0.0219766138061384,0.0125275296058439,0.022015206149346,0.0125383468971704
259,41,7 AV,D25,0.0204818707168331,0.0124000512591866,0.0203492623016919,0.012375350593889
260,43,PARKSIDE AV,D27,0.019061787480774,0.0118087216133829,0.0187952263122003,0.0117484712430001
261,44,CHURCH AV,D28,0.018773166833128,0.011687841347182,0.0184660724169128,0.0116188532699976
262,45,BEVERLEY RD,D29,0.0184087455872656,0.0115243252800819,0.018026739020602,0.0114433979611635
263,46,CORTELYOU RD,D30,0.0182565824055794,0.0114485368981686,0.0178256662957522,0.0113618858935894
264,47,NEWKIRK PLAZA,D31,0.0180277111495243,0.0113138173952113,0.0174714058621217,0.0112169760824214
265,48,AVENUE H,D32,0.0188992077989706,0.0117529353354196,0.0171219792912548,0.0110719543468253
266,49,AVENUE J,D33,0.0175457915919728,0.0110733728654475,0.0168772673851382,0.0109689402324352
