,entries,exits,0
0,6937.749999999995,9643.750000000002,1
1,8465.974999999999,12732.574999999988,10
2,1212.1999999999994,1950.6499999999999,100
3,4818.674999999998,7811.274999999994,101
4,1261.8999999999994,2465.4499999999994,103
5,2450.249999999999,1510.1749999999993,107
6,2233.3249999999994,2780.649999999999,108
7,2965.2749999999983,4584.874999999997,109
8,2214.875,2398.124999999999,110
9,1320.6499999999992,2112.3749999999995,111
10,1891.0749999999991,3153.574999999999,113
11,1629.0499999999993,2631.7499999999973,114
12,2384.824999999999,4402.949999999999,118
13,8521.824999999995,17637.799999999985,119
14,9100.073717948719,21535.254487179456,120
15,3509.6499999999987,4694.599999999999,122
16,3280.6499999999987,5293.4,123
17,2631.6749999999993,2988.7249999999985,124
18,2525.35,3386.6249999999973,125
19,3035.724999999999,1531.6499999999996,126
20,5148.674999999998,2383.1750000000006,127
21,3173.8999999999983,3827.7999999999984,129
22,3651.674999999999,7118.224999999994,13
23,1955.8749999999998,3063.224999999999,130
24,1079.625,1042.4499999999994,131
25,870.6499999999999,574.925,133
26,1457.0249999999999,2199.299999999999,134
27,1337.9749999999995,1856.2250000000004,135
28,2041.7250000000001,3022.5499999999993,136
29,1509.199999999999,2436.849999999999,137
30,2659.924999999999,1866.8499999999983,138
31,6869.524999999996,6345.449999999995,14
32,812.8249999999998,1210.475,141
33,4194.024999999998,3037.549999999998,143
34,2978.8749999999977,195.3,144
35,1919.8999999999974,944.1749999999995,145
36,4814.749999999997,6797.524999999992,146
37,5160.65,4515.349999999998,147
38,2001.8499999999995,2675.124999999999,149
39,1259.85,1559.6499999999992,150
40,10545.69999999999,15981.974999999984,151
41,2617.7749999999987,3345.774999999998,152
42,12549.17499999999,17007.524999999998,153
43,3230.1249999999986,3795.224999999999,154
44,3237.7749999999987,2618.999999999998,155
45,2012.3249999999996,2253.7999999999993,156
46,4219.749999999998,5154.449999999997,157
47,4563.474999999995,6402.1500000000015,158
48,5775.724999999994,7458.549999999992,159
49,5199.174999999996,7451.3499999999985,16
50,3667.3499999999985,5067.624999999997,160
51,8043.849999999996,8851.924999999996,162
52,29398.849999999966,44323.875000000044,164
53,8404.924999999994,8946.925000000001,165
54,13589.02499999999,25582.2,167
55,4531.374999999999,1918.4499999999994,168
56,6412.275000000001,10382.725,169
57,3927.3499999999976,6780.624999999999,17
58,4705.824999999998,7883.224999999992,173
59,4449.324999999998,6642.074999999999,175
60,2151.224999999999,1545.1,176
61,2646.874999999999,3755.2749999999987,177
62,7091.049999999996,10756.774999999998,179
63,2642.8999999999987,4061.6249999999986,180
64,6346.000000000001,8288.275,181
65,2448.475,2086.5999999999995,182
66,2520.5249999999983,2371.5249999999996,183
67,1405.6,1010.9499999999996,185
68,1425.7249999999995,2037.4249999999993,186
69,1576.7249999999988,1400.2999999999993,187
70,4982.674999999998,2568.099999999999,188
71,2738.0749999999985,3493.7249999999995,189
72,2177.199999999999,1581.324999999999,190
73,1443.5749999999996,811.2499999999998,191
74,3988.6249999999977,1317.4249999999997,192
75,991.6749999999995,483.57499999999993,193
76,1333.2999999999993,591.2749999999999,194
77,3959.3499999999967,4156.799999999999,195
78,507.55,92.45,196
79,406.5749999999999,1092.3999999999994,197
80,1187.4749999999992,309.4499999999999,198
81,160.69999999999993,68.225,199
82,4734.449999999995,6284.7999999999965,2
83,2305.4499999999994,1754.1749999999993,20
84,332.02499999999986,484.84999999999985,200
85,234.275,401.2249999999998,201
86,111.725,208.49999999999994,202
87,372.0749999999998,582.7999999999998,203
88,1088.4749999999997,1153.325,204
89,1028.95,1165.9749999999997,205
90,397.8499999999999,638.6749999999998,206
91,530.6749999999996,779.0749999999998,207
92,991.9499999999996,1524.7249999999995,208
93,2350.249999999999,3360.4499999999994,209
94,4338.249999999998,4544.224999999995,210
95,3657.7749999999987,3008.1999999999985,211
96,3541.399999999999,4480.649999999998,212
97,5322.099999999998,4830.924999999997,213
98,2452.8999999999987,1681.8499999999995,214
99,4501.874999999996,5570.0499999999965,215
100,2444.2999999999993,1895.3249999999996,216
101,3347.549999999998,2998.0499999999984,217
102,4257.174999999997,3055.2999999999984,218
103,1951.35,1362.9999999999993,22
104,1843.1499999999999,1562.4499999999996,220
105,5502.749999999999,6348.399999999995,221
106,3845.624999999998,4978.999999999997,222
107,8907.874999999996,14420.075000000017,223
108,5356.799999999997,8680.574999999997,224
109,20100.599999999984,32833.34999999993,225
110,9454.849999999997,14886.224999999997,228
111,11055.275,13659.649999999992,231
112,5921.524999999999,10973.124999999993,232
113,6055.524999999997,5624.849999999997,234
114,4296.349999999998,4902.299999999999,235
115,4505.799999999998,6668.65,236
116,4674.799999999997,3971.224999999997,237
117,1976.8999999999994,4015.549999999999,238
118,5267.5999999999985,4528.449999999999,240
119,2553.4499999999985,2400.8249999999985,241
120,2735.9749999999985,1306.124999999999,242
121,5004.124999999997,4523.149999999996,243
122,2220.0499999999997,1507.4749999999997,244
123,1995.524999999999,2045.2749999999992,245
124,1161.6,661.425,246
125,740.9249999999998,344.39999999999986,247
126,1547.4249999999988,756.375,248
127,1289.8249999999996,763.3749999999998,249
128,1805.124999999999,2232.6499999999996,250
129,987.3749999999997,562.4249999999998,251
130,1440.55,1522.399999999999,252
131,892.425,513.3999999999996,253
132,11081.250000000002,5953.699999999993,254
133,4108.674999999998,4948.9749999999985,255
134,3806.2499999999995,4668.824999999999,256
135,2248.7749999999996,2202.4249999999975,257
136,2601.9499999999994,1881.174999999999,258
137,12277.824999999992,15857.974999999995,259
138,8530.024999999996,8172.224999999992,26
139,1532.8999999999999,743.5749999999996,260
140,12603.899999999989,9728.499999999989,261
141,4153.1749999999965,2642.8999999999996,262
142,7043.299999999996,3980.4249999999984,263
143,9679.899999999996,9815.75,264
144,9217.724999999991,7732.6749999999965,265
145,6422.249999999998,2544.649999999999,266
146,1753.0499999999995,2111.224999999999,268
147,3368.624999999998,4000.0249999999983,269
148,3759.8499999999995,5011.399999999997,270
149,6024.874999999995,7598.1749999999965,271
150,1831.1999999999994,1754.0999999999995,272
151,5775.5499999999965,9040.374999999996,273
152,8092.300000000001,15328.074999999992,276
153,6279.374999999994,10980.799999999996,277
154,16728.49999999998,20476.89999999999,278
155,12684.89999999999,15189.29999999999,279
156,2919.049999999999,3659.7999999999984,28
157,2413.2249999999995,3724.824999999998,280
158,795.2249999999999,1498.6499999999996,282
159,4133.724999999997,5142.150000000001,283
160,3746.2499999999977,7373.025000000001,284
161,2432.75,2838.8999999999987,286
162,1661.4499999999996,2511.1749999999993,287
163,2551.8749999999986,2423.1249999999995,288
164,3338.825,3828.4499999999994,289
165,2300.724999999999,3991.0249999999983,290
166,2160.4249999999993,2119.6000000000004,291
167,2948.599999999999,3974.575,292
168,3993.2499999999995,2261.3749999999995,293
169,2185.275,323.64999999999975,294
170,4836.749999999999,704.875,295
171,2714.474999999999,791.0999999999999,296
172,1080.5000000000002,489.3499999999998,297
173,3587.999999999999,2132.1499999999996,298
174,3931.4249999999984,3447.5499999999997,299
175,5734.174999999997,8100.749999999996,3
176,2638.7999999999993,3553.7249999999985,30
177,4070.5499999999997,6870.849999999996,300
178,4679.9249999999965,7443.9999999999945,301
179,5444.449999999998,5406.949999999999,303
180,4809.699999999998,6175.674999999995,304
181,6223.649999999998,8356.599999999995,305
182,3562.5249999999996,6166.4,306
183,5365.999999999997,5692.874999999999,307
184,5258.799999999996,5401.074999999999,308
185,5605.699999999996,4647.274999999998,309
186,1803.874999999999,2390.124999999999,31
187,15247.774999999992,23636.899999999987,310
188,7960.699999999996,12415.224999999997,311
189,6403.074999999997,7228.849999999999,312
190,15676.624999999985,23817.199999999986,313
191,8654.599999999995,13576.475,314
192,9178.999999999996,15112.75000000001,316
193,28475.10000000001,43045.52499999996,318
194,5429.574999999998,6887.974999999995,319
195,7210.049999999999,6967.774999999995,32
196,5426.7499999999945,7729.074999999998,320
197,2927.749999999999,3516.099999999998,321
198,3934.6499999999983,6248.074999999996,323
199,4581.474999999999,5841.774999999997,324
200,1864.6999999999994,3137.0249999999987,325
201,2098.524999999999,2075.2999999999993,326
202,7914.025000000001,10513.674999999985,327
203,5028.0999999999985,7080.624999999993,328
204,2860.2249999999995,2859.1999999999985,329
205,4010.8749999999995,3407.524999999999,33
206,6307.099999999993,9967.399999999994,333
207,2.888888888888889,3.694444444444444,334
208,3159.8499999999985,4257.949999999998,336
209,4083.3999999999983,6266.050000000001,337
210,1540.5249999999994,2215.749999999999,339
211,4792.200000000001,6733.074999999995,34
212,3027.8999999999996,1968.9999999999995,340
213,1754.4750000000001,3172.4249999999993,341
214,1782.6999999999996,2696.1499999999987,343
215,2062.649999999999,2914.4749999999995,344
216,12375.375000000016,13955.399999999998,345
217,3456.649999999999,5225.299999999998,346
218,2718.3249999999994,3888.649999999998,347
219,2456.4999999999986,3746.299999999999,348
220,1264.1249999999995,2263.324999999999,349
221,6996.699999999994,7986.0749999999925,35
222,2373.324999999997,1761.6749999999988,350
223,1390.024999999999,2110.5,351
224,2911.149999999999,4195.649999999999,352
225,1877.174999999999,2935.899999999998,353
226,2684.424999999999,2548.8999999999996,354
227,3769.8249999999985,885.0499999999996,355
228,4934.575,1371.549999999999,356
229,2301.8999999999996,664.2999999999997,357
230,3852.924999999995,3619.349999999998,358
231,9657.649999999998,8884.074999999995,359
232,4063.4249999999993,3296.799999999998,36
233,3380.149999999996,2969.85,360
234,2011.5249999999992,2718.6999999999994,361
