,complex_id,Stop Name,Complex_id,exits_weekday_evening,entries_weekday_evening,exits_weekday_morning,entries_weekday_morning,exits_weekend_evening,entries_weekend_evening,exits_weekend_morning,entries_weekend_morning,exits_weekend_overnight,entries_weekend_overnight,cs_ibx_peak,cs_ibx_offpeak,cs_noibx_peak,cs_noibx_offpeak,VoroID,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,assesstot,Total_pop_Num,housed_pop_Num,group_house_pop_num,industrial_pop_num,under18_num,hispanic_num,white_num,black_num,asian_num,other_num,multirace_num,total_houses,occupied_homes_num,vacant_homes_num,Bus_Stops,geometry,Complex ID,boro,lat,long
0,614,59 ST-COLUMBUS CIRCLE,614c,10926.175,15541.2,25226.7,12127.425,9207.0625,8656.6875,13438.0,6768.75,992.0,907.375,0.0224812601121445,0.0138058128361527,0.0226490776866878,0.013906822376961,303.0,0.7386730020366634,3.999787656608712,1.7013796383416573,2.0505181915514736,0.6953183564969136,0.2359226618020793,0.1369891831657275,0.0175449232285822,0.0,0.6156045136483547,3.857585395324025e-05,0.0003682277871841,0.0020422776014764,0.0022320640522555,673.5149846854658,0.0029392706235202,0.0026724353524749,0.0002668352710452,0.0,0.0002673986688326,0.0003316614316242,0.0017938021963806,0.0001298789625052,0.0005403672586445,2.7944454455706213e-05,0.0001156163199097,0.0019333332017391,0.0016000095290332,0.0003333236727059,29.0,"POLYGON ((990236.0543776825 218861.07537803546, 990780.6224620225 219591.5659454128, 990826.7937542102 219740.62492616486, 990327.9331557314 220226.2836446879, 986822.0009954893 219889.72688082463, 988644.3875507363 218179.10194286125, 990236.0543776825 218861.07537803546))",614,M,40.7682715,-73.9818325
1,611,42 ST-PORT AUTHORITY BUS TERMINAL,611c,47538.8,32175.925,51746.825,35712.75,36982.0625,23756.8125,32989.3125,18093.75,4894.6875,5036.875,0.0254195334756749,0.0163408916464473,0.0256035653969537,0.0164657580607552,289.0,0.6515241388820884,7.95255087903427,6.05614585514176,0.7050216616152678,4.931101960193701,0.6006600049399746,0.1834841382512582,0.0436273598262837,0.0316768185051204,0.2655955734254211,8.367742041467523e-05,0.0007584242476486,0.001082534703392,0.0022468681243149,1192.2595527478716,0.0015519528677573,0.0013914339618926,0.0001605189058647,3.323219591667653e-06,0.0001032654140336,0.0002776534533822,0.0007270859030907,0.0002068628463842,0.0002708389798081,1.6013240562825134e-05,5.349844452920276e-05,0.0010552809714785,0.0009188097596011,0.0001364712118774,22.0,"POLYGON ((986940.1379654831 213865.68954273767, 987341.8877554018 213523.97496398562, 988038.393047288 213478.19682903076, 988502.8356811693 215007.25098312544, 987670.839828207 215913.3060415271, 985739.3594244161 216517.58079501113, 986940.1379654831 213865.68954273767))",611,M,40.755746,-73.9875808
2,601,14 ST,601c,8016.6,8628.425,13483.025,7083.525,6736.9375,5749.5,8523.25,3904.25,1071.5,849.1875,0.0242715164609495,0.0149465240617833,0.0243960606061113,0.0150190303651145,338.0,0.6587658770101015,3.765380635572568,1.4463356510688496,2.2360128368578773,0.7935324088483225,0.3632141751517223,0.0446223961921671,0.0102524450740176,0.0002881150046591,0.2344261107979606,0.0001688620188491,0.000807404492151,0.0023734296155206,0.0027098085242665,554.0475554878755,0.0033969098881137,0.0032822998599459,0.0001146100281677,0.0,0.0003133406090939,0.0002741339971762,0.00257799427916,8.227141396687498e-05,0.000282601807593,3.35723887016435e-05,0.0001463360015159,0.0022505362306342,0.0019747581291184,0.0002757781015158,11.0,"POLYGON ((984311.361812786 208635.71960600044, 983896.7822306984 207690.6364592785, 984133.6517245298 207322.2989855859, 985355.980550491 206508.9217491366, 985668.3206503489 206789.51198198437, 986100.7490039772 208313.13497477202, 985781.5805472598 208718.59933389598, 984311.361812786 208635.71960600044))",601,M,40.737796333333335,-73.997732
3,635,SOUTH FERRY,635c,6610.825,6476.9,8226.1,5440.325,4171.125,3599.375,3936.9375,2295.0625,1291.6875,506.0,0.0203503773124833,0.0127168138648591,0.0204540757961578,0.0127779483004563,223.0,0.7726445952388621,5.558198111669657,5.165285544807421,0.2830710459131187,4.6942423435605445,0.1480674344489187,0.0530915599279444,0.0162827431791623,0.0,0.2536014636908513,2.483024305088776e-05,0.0003085830520232,0.0002597809703571,0.000635327583788,495.2749084149783,0.0004869563366834,0.0004464333998032,4.052293688022042e-05,0.0,7.548391415116326e-05,5.424343729656234e-05,0.0002769067353481,3.64224016006743e-05,8.611124087046839e-05,7.718654643851507e-06,2.555386692374884e-05,0.0002713447757388,0.0002180519936888,5.329278205009019e-05,13.0,"POLYGON ((980986.4055763358 195840.87311689934, 981629.5970308828 195432.1796744987, 981874.8557707032 195150.20719454865, 981723.9432373036 195028.25341791703, 981715.1676025363 195024.23901361745, 981673.9343872035 195008.65801996374, 981837.79699707 194720.74639887354, 982099.6008300786 194869.41741937437, 982145.1027832022 194789.28961176192, 981883.1315917962 194640.52679437256, 981934.9291992191 194549.31280512767, 981859.7587890642 194506.6262206508, 981592.3836059567 194974.89862055192, 981184.4393920888 194835.33398432523, 981149.8229980476 194834.32220453434, 981170.091796873 194770.33319086386, 981119.6027832003 194760.946411082, 981141.7977905284 194686.1105956443, 981164.2781982437 194693.5087890067, 981178.2218017568 194654.2406005336, 981181.3514404313 194638.8729857826, 981169.7667846697 194633.9484252427, 981173.9244384764 194621.1928099962, 981174.0593872062 194615.67181390384, 981178.1213989233 194615.9235839294, 981184.4639892584 194601.197387638, 981183.468200685 194597.951415953, 981189.5505981408 194581.37719721496, 981195.6791992198 194575.54461664383, 981191.7761840781 194571.91882318683, 981194.3988037114 194565.07781977323, 981198.0910034189 194564.71038812905, 981201.9589843756 194557.1337890076, 981197.5723876939 194554.57098383023, 981198.9379882824 194548.9271850029, 981202.3417968757 194550.85241693322, 981208.2666015628 194540.71740717435, 981203.1514282183 194536.6041869546, 981211.5072021448 194514.8698119562, 981217.6340332022 194515.32458490427, 981220.7806396476 194512.02740472593, 981220.5732421874 194508.03399652336, 981214.5956420854 194501.44439691395, 981222.3425903327 194482.7606200631, 981226.2833862287 194484.69860834262, 981231.9226074194 194473.63818353598, 981226.6434326181 194469.97882073882, 981259.4313964855 194390.2349852969, 981255.4891967733 194381.0173949654, 981251.1318359372 194378.55181879862, 981241.0773925778 194392.42199702087, 981219.0809936506 194456.78039545252, 981198.9270019516 194517.24621576344, 981187.804992676 194554.31280512176, 981179.350402833 194578.1746215322, 981171.0101928703 194600.877807562, 981162.9002075149 194621.7276000398, 981158.2673950202 194632.84960931068, 981100.5839843757 194615.93701166267, 981115.8728027341 194541.5700072644, 981117.2637939446 194523.73242182526, 981114.0187988288 194516.78021234504, 981107.2998046861 194512.6104125451, 981099.8884277353 194511.68499750196, 981094.0946044934 194513.30560297312, 981090.3904418951 194520.72039789264, 981079.9638061494 194551.3012084504, 981069.7703857421 194578.4039916386, 981060.502197265 194602.4985961392, 980997.7363891605 194586.13360590066, 981005.8237915033 194568.4335936934, 981010.6300048778 194558.16119378546, 981015.4396362302 194537.83660883055, 981024.8359985345 194507.89880365125, 981030.7384033188 194485.16918939303, 981029.6456298812 194477.74139398764, 981024.8359985342 194472.4956054129, 981011.9423828135 194473.807800243, 981004.9476318377 194480.79919428687, 980998.6121826154 194479.92639154533, 980991.617797853 194498.93920892684, 980984.4061889626 194513.5814208395, 980970.8563842766 194548.3287963288, 980968.6713867194 194555.5397948663, 980964.7377929684 194571.49481196248, 980963.2089843751 194574.7723998474, 980924.994995117 194562.3574218185, 980898.6290283204 194553.79119867005, 980899.0686035157 194547.6726073677, 980903.4385986297 194524.0701903726, 980911.9624023415 194498.28301996575, 980929.1077880863 194443.43719476412, 980949.0159912095 194388.24060053396, 980962.3626098626 194344.58239740462, 980941.7752075209 194324.2216185899, 980933.1793823227 194319.2443847084, 980911.4638061536 194323.08959955297, 980898.1170043929 194337.11541742628, 980887.2576293937 194357.7023925282, 980878.8881835953 194382.5844115695, 980874.8165893558 194390.50439446638, 980856.945983886 194422.62701410666, 980851.9689941393 194438.46020502402, 980834.3245849623 194483.4766234821, 980822.2218017587 194515.3728026799, 980814.078796388 194531.65881341908, 980757.9764404314 194513.56158441864, 980758.881835936 194492.0722045322, 980768.8359985342 194436.64898676274, 980775.9617919937 194397.51519769768, 980779.580627443 194372.85980219103, 980779.8070068358 194360.41558831732, 980772.3432006793 194354.76300043336, 980752.4349975563 194345.03521723108, 980742.9335937497 194347.5222167469, 980733.8851928718 194359.06079095835, 980718.8425903313 194385.3010253284, 980701.8774414057 194414.9334105891, 980691.2443847655 194434.16241449435, 980682.4219970694 194454.07019037192, 980678.1242065439 194466.51141351857, 980671.7890014643 194486.6423949656, 980670.6604003923 194496.36999506186, 980644.8078002885 194493.61102289223, 980615.5751953118 194490.49078363398, 980614.4432373034 194477.59399408443, 980614.4432373055 194436.87561029271, 980619.30859375 194387.10839838174, 980623.6063842739 194343.22399896517, 980638.4227905262 194262.9190062912, 980642.0418090827 194239.3923949623, 980639.5548095716 194230.34381097974, 980633.2196044917 194223.5556029691, 980613.9935913068 194223.33282464708, 980606.3002319342 194233.9624022897, 980602.6813964858 194249.1199950632, 980599.0628051742 194280.56359857586, 980596.1229858367 194312.00701898712, 980593.8591918924 194343.22399896517, 980589.6727905261 194392.99121088543, 980587.8652343762 194405.8845824652, 980583.5671997066 194427.1510009189, 980569.5418090824 194486.6423949656, 980510.7261962908 194479.85760492942, 980512.0845947274 194435.97320551288, 980511.4053955091 194401.5867919355, 980505.7492065418 194369.91699213564, 980497.6062011723 194345.03521723108, 980482.6749877923 194334.6284179151, 980476.1300048846 194336.34442133666, 980458.2492065426 194351.4754027757, 980461.5892333973 194355.42242426288, 980467.1633911103 194364.57580561048, 980475.7164306652 194394.9564208389, 980487.1763916011 194390.22882075066, 980489.7255859387 194413.15179438007, 980497.5469970721 194413.88000482554, 980498.2753906247 194418.9718016988, 980489.725585936 194418.60778803373, 980489.9979858355 194439.16900629134, 980498.5476074219 194441.71459955358, 980498.0029907242 194444.80859369406, 980489.2695922807 194444.0802001426, 980490.1784057614 194465.54681390713, 980500.1849975575 194466.639404239, 980500.3685913073 194473.3713988769, 980484.3580322273 194472.09838861044, 980483.0524291996 194488.49279779982, 980492.0878295889 194489.01782221204, 980485.3590087898 194540.14300531507, 980503.8627929693 194542.57739252463, 980490.6047973646 194648.05279534936, 980381.5664062512 194666.6914061963, 980342.5953979479 194506.62402338316, 980339.010803221 194491.76379389112, 980342.7410278316 194490.85522455108, 980332.5408325156 194448.93920893501, 980330.0310058596 194449.54919428675, 980326.8815917962 194422.4495849038, 980319.6503906243 194400.7073974096, 980306.8980102554 194346.27862542667, 980282.1704101549 194349.8547973138, 980282.1704101564 194354.5202025844, 980318.777832033 194502.93200678064, 980322.3605957023 194502.04919428026, 980325.8482055664 194516.18981929138, 980287.9150390627 194540.34320062122, 980284.486389162 194535.99621576446, 980285.8873901373 194534.8937987705, 980280.6774291988 194528.28259271994, 980279.9393920901 194528.8143920318, 980266.1072387691 194504.63439936287, 980243.8370361286 194468.66040033643, 980212.8099975598 194418.5390014085, 980208.6141967754 194421.137206977, 980206.0845947281 194418.0599974996, 980206.6127929668 194409.09979242642, 980192.577392577 194377.60742181545, 980181.9703979488 194382.335021913, 980183.0889892579 194392.892822208, 980186.7800292949 194394.0802001461, 980199.325805665 194418.51281733072, 980199.4307861341 194423.59460444056, 980214.9790039052 194445.20538324915, 980231.2778320306 194467.85980218992, 980231.5436401352 194471.32080072255, 980233.6368408187 194473.68298334174, 980235.3953857416 194474.02099604433, 980254.5621948246 194506.53399651955, 980258.0494384761 194510.960021911, 980258.6301879867 194513.5093993644, 980278.3121948238 194546.59661859294, 980189.7622070326 194603.44659418424, 980167.2919921862 194565.92059320584, 980154.2080078137 194547.47241205224, 980142.8527832024 194528.2369994501, 980129.8446044901 194508.0532226001, 980110.1365966764 194480.304016059, 980091.1372070278 194453.6567992598, 980071.9017944321 194421.64898676195, 980063.5455932614 194427.48260492925, 980080.8880004851 194459.01800531647, 980084.5166015628 194458.54559321047, 980088.4566040026 194465.1661986757, 980092.715393068 194464.85119622707, 980099.8085937493 194475.25799554767, 980097.7612304677 194476.99359125338, 980105.0118408218 194485.82220453958, 980106.7474365241 194490.080810487, 980112.1083984341 194493.3909911559, 980113.6829833996 194497.1740111735, 980111.9508056641 194498.90960687923, 980108.3222045883 194496.22900384624, 980106.9047851561 194496.54400629023, 980122.4364013678 194517.04260247815, 980140.7269897454 194546.3699950583, 980166.5831909168 194587.67919916968, 980173.2858276354 194596.8228148859, 980181.3273925779 194609.75262444824, 980143.3254394544 194634.97882074298, 980138.4401855423 194631.66839594202, 980084.988830565 194667.2947997498, 980051.3786010738 194612.79260248825, 979902.9335937517 194763.3338012135, 979870.8489990239 194796.4515990597, 979838.4638061511 194838.0065917378, 979781.4263915968 194899.89959711337, 979775.1011962884 194905.44421381308, 979745.8326416021 194944.32519525645, 979704.9271850599 194997.15319817982, 979670.8034057635 195040.73260492051, 979665.9706420884 195047.74359124858, 979591.016796029 195151.792003057, 980986.4055763358 195840.87311689934))",635,M,40.702249,-74.01309950000001
4,620,BOROUGH HALL,620c,4562.675,6676.15,9676.825,7114.125,2953.625,2399.4375,3803.0,2498.25,334.375,187.5625,0.0213185497527743,0.0135280493969581,0.0213336953312715,0.0135479990214085,25.0,0.7131858424227816,3.124350913608309,1.786740499242714,1.2575664833042242,1.1321767863886132,0.1652871250210938,0.1210819341847183,0.0114508431866441,0.000148967870868,0.3551079315933683,0.0001317822387726,0.0005595776691994,0.0012453631994467,0.0049669961034282,315.9543622154218,0.0021495504399075,0.002051048526789,9.85019131185187e-05,9.036798075495792e-06,0.00033520835546,0.0001915386604448,0.0014780230563744,8.993568849141099e-05,0.0002427892601243,1.735211852465592e-05,0.0001299116559479,0.001140460610676,0.0010490151864728,9.144542420317052e-05,25.0,"POLYGON ((983946.3076435457 190667.0264045154, 986951.6570828601 192951.27692796005, 987636.983502688 192934.96732957516, 987188.8667737225 190535.13232422303, 983946.3076435457 190667.0264045154))",620,Bk,40.693241,-73.990642
5,617,ATLANTIC AV-BARCLAYS CTR,617c,14278.175,8968.25,13847.025,10939.7,9261.5,6283.0625,9742.25,4694.9375,938.25,664.8125,0.0220475996248013,0.0142038244364447,0.0220261831608807,0.0142192312919167,190.0,0.6608533783208332,1.7166274333475,0.7911333964346398,0.8664412221044455,0.2320039974606292,0.237032697322657,0.0582500888689953,0.0268814048522773,0.0232343573845739,0.2003947690083852,0.0001642274167996,0.0005209022432239,0.0008864808844361,0.0010130088723279,166.96874707150732,0.0017683865968559,0.0017320885775999,3.6298019256031953e-05,4.556016662442574e-06,0.0002619763939368,0.000312161022015,0.0008223347549728,0.000324916107927,0.0001765974802449,1.7900934099100747e-05,0.0001144762975969,0.0008999009373423,0.0008426611925429,5.723974479935324e-05,19.0,"POLYGON ((989931.3036496107 187024.4969627527, 988860.3276489188 188117.58167206318, 988966.2474526999 188349.86647701374, 990321.2047144487 189528.49451220076, 990962.308736772 188841.49110162666, 991160.6236074371 188328.9057030446, 989931.3036496107 187024.4969627527))",617,Bk,40.68416166666667,-73.97778866666665
6,626,BOTANIC GARDEN,626c,669.575,408.15,779.35,350.475,602.75,178.875,430.125,123.375,157.375,30.3125,0.0197585409872966,0.0127330754613986,0.01955779890373,0.012702112393104,209.0,0.6743609422540776,1.4896606475069234,0.3291700845455482,1.128522117555418,0.129241092442924,0.0311016465131262,0.0159288452751812,0.0043477100704264,0.0158136599151508,0.1326942257817719,0.0001105719610751,0.0002840206893013,0.0012054105606963,0.0012646690488481,71.08586989591414,0.0026359296135136,0.0026239714241624,1.1958189351166607e-05,0.0,0.0004017361709811,0.0002908450644478,0.0005822221627349,0.0014865431055659,0.0001057446857132,2.534540226918249e-05,0.0001452291927822,0.0011907351969751,0.0011296581633647,6.107703361033144e-05,16.0,"POLYGON ((996831.305794213 183129.14667017193, 996884.788971161 184004.35901456245, 995071.8529521246 184598.17478454977, 994611.5944288073 182261.4028911964, 996238.521219173 181408.06352352528, 996482.5054729568 181731.59268625063, 996831.305794213 183129.14667017193))",626,Bk,40.6705125,-73.958688
7,604,161 ST-YANKEE STADIUM,604c,5203.175,4608.6,2994.925,5674.325,3799.5625,2868.0625,1590.8125,2378.3125,1038.5333333333333,523.1333333333333,0.0174779833683174,0.0113982111710493,0.0176144621647825,0.0114753311304129,409.0,0.7039685892807537,1.2204617018363164,0.4994987580859783,0.7040688929199943,0.0993249286851005,0.0573508408270119,0.1417500143977834,0.0265308457786523,0.0235473892743461,0.1509947391230838,3.6812761249437983e-05,0.0001247271216104,0.0007126286889768,0.0007430210474603,106.2049828434474,0.0017221235823443,0.0016750317808725,4.70918014717711e-05,6.50401070313474e-06,0.0003861499001342,0.0010534987074743,5.965383389847923e-05,0.0005338080602111,2.7483082247144097e-05,1.6449039682620953e-05,3.123085883052509e-05,0.0006861905060323,0.0006574269795296,2.87635265026523e-05,32.0,"POLYGON ((1002886.5095511712 239497.1931536354, 1002884.936218305 239518.32922357667, 1002897.6713867057 239523.51898187998, 1002887.1965942694 239688.43060298872, 1002874.7326050119 239693.70300287934, 1002868.1677856739 239822.24279780575, 1002867.5606079213 239848.40362543837, 1002865.3350220012 239899.8328246518, 1002862.9573974889 239933.08459469117, 1002859.9725952134 239971.51519771246, 1002857.6293945467 240021.047424261, 1002855.2650146785 240077.13220209227, 1002803.6798096009 240554.83941644945, 1002797.1342163399 240664.48498529548, 1002790.1690063603 240777.9000243784, 1002775.843017608 240978.46759027932, 1002772.0338134613 241003.93481441206, 1002768.4464111476 241029.26141351802, 1002701.4647827292 241686.1132201784, 1002675.3170166179 241957.7673949623, 1002659.6401977395 242120.6358031605, 1002640.0512084967 242225.5656127327, 1002623.134399413 242691.93218988623, 1002632.9224243183 242729.34301752405, 1002634.704406752 242747.7593993624, 1002634.7044067541 242765.58178705265, 1002641.8336181444 242789.939025837, 1002648.588012693 242822.83020013932, 1002655.9896837758 242867.54758786075, 1002660.8058129121 242912.61680570844, 1002663.0204384461 242957.8884848504, 1002662.6262207141 243003.21258539596, 1002735.1038208437 243413.7202147981, 1002741.4138183432 243476.8200072713, 1002750.5504150544 243568.11322016153, 1002791.0036010738 243744.72418208755, 1002884.9161987263 244034.33038324563, 1002941.0716534978 244162.48320454583, 1005795.6715370703 242015.92561786633, 1007112.7460397814 239845.83525083258, 1006083.3229910745 238930.37396522154, 1002886.5095511712 239497.1931536354))",604,Bx,40.8279495,-73.925741
8,603,149 ST-GRAND CONCOURSE,603c,2101.825,2285.65,3874.875,3448.125,1417.25,978.625,1607.5,1436.3125,350.3125,173.8125,0.0170635185435353,0.0112238051329283,0.0172071291236174,0.0113105361592518,401.0,0.7296659367815672,1.337324458614004,0.7720238484067892,0.5368694217421603,0.2575713307717624,0.1305606691076977,0.1691777780095417,0.0650866530074041,0.0422523136586587,0.0973735293714171,3.4541336436277e-05,0.0001048512711207,0.0005649583736787,0.0006204984666343,59.724351808192544,0.001218195682403,0.0011821289865028,3.606669590026858e-05,2.0875349205629787e-06,0.0002770155520877,0.0006867752998408,4.57752007005211e-05,0.0004306159678818,1.9429999432064865e-05,1.2697611912386894e-05,2.2901602635405868e-05,0.0005032516311418,0.0004846491697765,1.860246136521785e-05,19.0,"POLYGON ((1004724.2638746053 236028.9228402569, 1002976.3730782571 237279.6116561487, 1002964.0781860475 237822.7817992709, 1002963.7844238577 237835.76678462376, 1002963.4298095687 237851.36718745562, 1002965.6011962881 237869.71301263923, 1002967.4818115395 237883.37701411507, 1002952.3604125971 238195.39880365753, 1002943.7318115691 238440.76239008675, 1002960.1690063465 238449.8670043546, 1002953.1632080065 238606.0001830512, 1002941.72241211 238607.19799799082, 1002928.895812974 238811.71960444783, 1002941.9141845831 238817.48101801082, 1002932.3901977998 238973.72399896578, 1002918.5186157387 238979.45239251596, 1002910.1494140765 239140.29840084107, 1002920.9696045223 239151.89642328912, 1002911.4155883795 239301.33502191908, 1002900.9564209115 239303.11639399597, 1002886.5095511712 239497.1931536354, 1006083.3229910745 238930.37396522154, 1005566.9675910242 236155.27455180034, 1004724.2638746053 236028.9228402569))",603,Bx,40.8183925,-73.92703449999999
9,628,FULTON ST,628c,12523.2,14837.275,18621.675,9066.475,6793.8125,5882.8125,5038.375,3636.5,1841.8125,1058.0625,0.0239064658533836,0.0150639825199678,0.0240635677903178,0.0151667521479398,252.0,0.7278972622960117,5.307977805874275,2.9329083455158025,2.009091762359468,2.339840826042567,0.3393728860378152,0.0729417651860404,0.0209657132670491,0.0001179313804638,0.1456896810456448,6.078149915958492e-05,0.000560228028647,0.0020066167920666,0.0024426813569124,556.1672724738853,0.0036384863133576,0.0032348002868968,0.0004036860264608,0.0001114378896433,0.0003654369293959,0.0003419530240079,0.0021572825032388,0.0001627600502377,0.0007727850366575,3.13951912662906e-05,0.0001723105079492,0.0019410735240099,0.0017229013780408,0.000218172145969,11.0,"POLYGON ((982039.5678251367 198618.23735209164, 981395.1855137955 198041.3219659235, 981346.2243028092 197881.1204949612, 981481.0458203688 197599.45324880356, 983875.8816204513 196384.12636309565, 982737.9485019725 198370.92824636708, 982039.5678251367 198618.23735209164))",628,M,40.71008875,-74.00783824999999
