,route_id,speed_mph
0,1,16.119493505454546
1,2,14.962728512422997
2,3,15.27329918
3,4,16.305569038837042
4,5,15.775591049016395
5,6,15.487351116852148
6,7,16.885795281234568
7,A,17.490533742110877
8,B,18.082812126044228
9,C,17.106891898529412
10,D,16.19175814577922
11,E,17.297474503625953
12,F,16.875400741666667
13,Q,16.93235975
14,G,17.398388
15,S,17.9902438775
16,J,15.876315836615383
17,L,16.28667089728395
18,M,15.383006813934427
19,N,15.744100279710144
20,R,14.591495726106194
21,Z,17.121877904999998
22,IBX,18.67
23,W,15.744100279710144
